city,province,log_pop,log_inscription_count,log_letter_mass,letter_mass,inscription_count,content_residual,scaling_residual,quadrant
Scallabis,Lusitania,8.278174290943738,0.0,2.5649493574615367,13,1,-1.3757958382250273,-4.503449623503191,"Q3: lo-scaling, lo-content"
Nemetacum,Belgica,8.278174290943738,0.0,3.044522437723423,21,1,-0.896222757963141,-4.503449623503191,"Q3: lo-scaling, lo-content"
Alesia,Lugudunensis,9.845964366292462,1.0986122886681098,4.3694478524670215,79,3,-0.637808186459174,-4.482673233355707,"Q3: lo-scaling, lo-content"
Autricum,Lugudunensis,10.446102498791525,1.6094379124341003,6.893656354602635,986,5,1.3905010140114626,-4.384435004706847,"Q2: lo-scaling, hi-content"
Leptiminus,Africa proconsularis,9.012986392348266,0.6931471805599453,5.6131281063880705,274,2,0.9994894871950386,-4.31547649271838,"Q2: lo-scaling, hi-content"
Limonum,Aquitani(c)a,9.588502797556337,1.0986122886681098,4.672828834461906,107,3,-0.33442720446428975,-4.305671652827456,"Q3: lo-scaling, lo-content"
Claterna,Aemilia / Regio VIII,7.9229859587111955,0.0,3.912023005428146,50,1,-0.028722190258418046,-4.259262125932286,"Q3: lo-scaling, lo-content"
Lambiridi,Numidia,7.8013913202914855,0.0,4.48863636973214,89,1,0.5478911740455756,-4.1756673459823945,"Q2: lo-scaling, hi-content"
Lopodunum,Germania superior,8.727616178321068,0.6931471805599453,3.6109179126442243,37,2,-1.0027207065488075,-4.119288070630931,"Q3: lo-scaling, lo-content"
Arausio,Gallia Narbonensis,9.311090275076326,1.0986122886681098,5.749392985908253,314,3,0.7421369469820576,-4.114954043289324,"Q2: lo-scaling, hi-content"
Nasium,Belgica,9.311090275076326,1.0986122886681098,4.836281906951478,126,3,-0.17097413197471756,-4.114954043289324,"Q3: lo-scaling, lo-content"
Termes,Hispania citerior,7.6676260915849905,0.0,3.4965075614664802,33,1,-0.4442376342200838,-4.08370543874707,"Q3: lo-scaling, lo-content"
Lixus,Mauretania Tingitana,7.6676260915849905,0.0,3.6888794541139363,40,1,-0.25186574157262775,-4.08370543874707,"Q3: lo-scaling, lo-content"
Picentia,Latium et Campania / Regio I,9.669535802505315,1.3862943611198906,5.717027701406222,304,4,0.4304956587067217,-4.073698749015221,"Q2: lo-scaling, hi-content"
Augustoritum,Aquitani(c)a,9.989481745702989,1.6094379124341003,5.5093883366279774,247,5,0.006232996036804828,-4.07051399740689,"Q2: lo-scaling, hi-content"
Bassiana (Pannonia Inferior),Pannonia superior,7.5953872788539725,0.0,2.772588722239781,16,1,-1.1681564734467829,-4.034042166315216,"Q3: lo-scaling, lo-content"
Blera,Etruria / Regio VII,7.5953872788539725,0.0,3.4011973816621555,30,1,-0.5395478140244085,-4.034042166315216,"Q3: lo-scaling, lo-content"
Segodunum,Aquitani(c)a,8.593969030218288,0.6931471805599453,5.099866427824199,164,2,0.4862278086311669,-4.027407342321029,"Q2: lo-scaling, hi-content"
Norba,Latium et Campania / Regio I,8.593969030218288,0.6931471805599453,4.61512051684126,101,2,0.0014818976482278146,-4.027407342321029,"Q2: lo-scaling, hi-content"
Mediolanum (Gallia Aquitania),Aquitani(c)a,10.174087045006633,1.791759469228055,6.695798917058491,809,6,1.0156494546258275,-4.015106255016535,"Q2: lo-scaling, hi-content"
Abthungi,Africa proconsularis,8.484049972822984,0.6931471805599453,5.713732805509369,303,2,1.100094186316337,-3.95183937703342,"Q2: lo-scaling, hi-content"
Sicca Veneria,Africa proconsularis,10.23720600096072,1.9459101490553132,6.037870919922137,419,7,0.20807505973449825,-3.9043490611375304,"Q2: lo-scaling, hi-content"
Thelepte,Africa proconsularis,10.671997275090702,2.302585092994046,6.214608098422191,500,10,0.0385593343245505,-3.846587633102117,"Q2: lo-scaling, hi-content"
Cartenna,Mauretania Caesariensis,9.311090275076326,1.3862943611198906,5.247024072160486,190,4,-0.039507970539014,-3.8272719708375433,"Q3: lo-scaling, lo-content"
Metapontum,Bruttium et Lucania / Regio III,7.259819610363186,0.0,3.5553480614894135,35,1,-0.3853971341971505,-3.8033436275444634,"Q3: lo-scaling, lo-content"
Gunugu,Mauretania Caesariensis,8.232706009860976,0.6931471805599453,5.099866427824199,164,2,0.4862278086311669,-3.779043573298898,"Q2: lo-scaling, hi-content"
Noviodunum (Gallia Lugdunensis),Lugudunensis,8.185907481482324,0.6931471805599453,4.189654742026425,66,2,-0.4239838771666067,-3.746870175420214,"Q3: lo-scaling, lo-content"
Choba,Mauretania Caesariensis,7.160845906664299,0.0,4.969813299576001,144,1,1.0290681038894367,-3.735300454843249,"Q2: lo-scaling, hi-content"
Tullum,Belgica,7.053585727193677,0.0,2.772588722239781,16,1,-1.1681564734467829,-3.6615604345860806,"Q3: lo-scaling, lo-content"
Avaricum,Aquitani(c)a,9.873234509365107,1.9459101490553132,5.616771097666572,275,7,-0.2130247625210675,-3.6541232523074854,"Q3: lo-scaling, lo-content"
Rusicada,Numidia,10.06172985026664,2.0794415416798357,6.313548046277095,552,8,0.3541225800711265,-3.6501800286107238,"Q2: lo-scaling, hi-content"
Isca,Britannia,8.558335134747413,1.0986122886681098,2.70805020110221,15,3,-2.2992058378239855,-3.597444380612089,"Q3: lo-scaling, lo-content"
Statonia,Etruria / Regio VII,6.907755278982137,0.0,2.5649493574615367,13,1,-1.3757958382250273,-3.561303841148474,"Q3: lo-scaling, lo-content"
Genusia,Apulia et Calabria / Regio II,6.907755278982137,0.0,3.1780538303479458,24,1,-0.7626913653386183,-3.561303841148474,"Q3: lo-scaling, lo-content"
Pitulum,Umbria / Regio VI,6.907755278982137,0.0,5.521460917862246,250,1,1.580715722175682,-3.561303841148474,"Q2: lo-scaling, hi-content"
Neapolis (Africa Proconsularis),Africa proconsularis,6.907755278982137,0.0,3.6635616461296463,39,1,-0.2771835495569177,-3.561303841148474,"Q3: lo-scaling, lo-content"
Thisica,Africa proconsularis,6.907755278982137,0.0,3.4011973816621555,30,1,-0.5395478140244085,-3.561303841148474,"Q3: lo-scaling, lo-content"
Consoranni,Aquitani(c)a,6.907755278982137,0.0,2.5649493574615367,13,1,-1.3757958382250273,-3.561303841148474,"Q3: lo-scaling, lo-content"
Lacimurga,Baetica,6.907755278982137,0.0,3.7376696182833684,42,1,-0.2030755774031956,-3.561303841148474,"Q3: lo-scaling, lo-content"
Roda,Hispania citerior,6.907755278982137,0.0,3.8918202981106265,49,1,-0.04892489757593754,-3.561303841148474,"Q3: lo-scaling, lo-content"
Ad Sava,Mauretania Caesariensis,6.907755278982137,0.0,2.995732273553991,20,1,-0.9450129221325732,-3.561303841148474,"Q3: lo-scaling, lo-content"
Apta,Gallia Narbonensis,6.907755278982137,0.0,4.532599493153256,93,1,0.5918542974666923,-3.561303841148474,"Q2: lo-scaling, hi-content"
Aquae Calidae,Mauretania Caesariensis,6.907755278982137,0.0,3.7612001156935624,43,1,-0.17954507999300162,-3.561303841148474,"Q3: lo-scaling, lo-content"
Enna,Sicilia,6.907755278982137,,,0,1,,-3.561303841148474,
Caesaromagus (Gallia Belgica),Belgica,6.907755278982137,0.0,1.9459101490553132,7,1,-1.9948350466312508,-3.561303841148474,"Q3: lo-scaling, lo-content"
Apollonia (Sicilia),Sicilia,6.907755278982137,,,0,1,,-3.561303841148474,
Aunobari,Africa proconsularis,6.907755278982137,0.0,3.828641396489095,46,1,-0.11210379919746893,-3.561303841148474,"Q3: lo-scaling, lo-content"
Solona,Aemilia / Regio VIII,6.907755278982137,0.0,4.02535169073515,56,1,0.08460649504858564,-3.561303841148474,"Q2: lo-scaling, hi-content"
Ugia,Baetica,6.907755278982137,0.0,3.828641396489095,46,1,-0.11210379919746893,-3.561303841148474,"Q3: lo-scaling, lo-content"
Bistua Nova,Dalmatia,6.907755278982137,0.0,1.9459101490553132,7,1,-1.9948350466312508,-3.561303841148474,"Q3: lo-scaling, lo-content"
Abbir Maius,Africa proconsularis,6.907755278982137,0.0,6.450470422144176,633,1,2.5097252264576118,-3.561303841148474,"Q2: lo-scaling, hi-content"
Sexi,Baetica,6.907755278982137,0.0,5.081404364984463,161,1,1.1406591692978991,-3.561303841148474,"Q2: lo-scaling, hi-content"
Iluro,Baetica,6.907755278982137,0.0,5.062595033026967,158,1,1.1218498373404029,-3.561303841148474,"Q2: lo-scaling, hi-content"
Vibinum,Bruttium et Lucania / Regio III,6.907755278982137,0.0,3.295836866004329,27,1,-0.6449083296822349,-3.561303841148474,"Q3: lo-scaling, lo-content"
Axati,Baetica,6.907755278982137,0.0,5.099866427824199,164,1,1.1591212321376347,-3.561303841148474,"Q2: lo-scaling, hi-content"
Aregenua,Lugudunensis,6.907755278982137,0.0,7.593877844605118,1986,1,3.6531326489185543,-3.561303841148474,"Q2: lo-scaling, hi-content"
Acholla,Africa proconsularis,6.907755278982137,0.0,5.746203190540153,313,1,1.805457994853589,-3.561303841148474,"Q2: lo-scaling, hi-content"
Pheradi Maius,Africa proconsularis,6.907755278982137,0.0,3.9889840465642745,54,1,0.048238850877710515,-3.561303841148474,"Q2: lo-scaling, hi-content"
Arsennaria,Mauretania Caesariensis,6.907755278982137,0.0,4.564348191467836,96,1,0.6236029957812721,-3.561303841148474,"Q2: lo-scaling, hi-content"
Hippo Diarrhytus,Africa proconsularis,6.907755278982137,0.0,3.7612001156935624,43,1,-0.17954507999300162,-3.561303841148474,"Q3: lo-scaling, lo-content"
Iuvavum,Noricum,6.907755278982137,0.0,2.3978952727983707,11,1,-1.5428499228881933,-3.561303841148474,"Q3: lo-scaling, lo-content"
Abitinae,Africa proconsularis,6.907755278982137,0.0,4.343805421853684,77,1,0.4030602261671201,-3.561303841148474,"Q2: lo-scaling, hi-content"
Uzelis,Numidia,6.907755278982137,0.0,5.726847747587197,307,1,1.7861025519006328,-3.561303841148474,"Q2: lo-scaling, hi-content"
Pons Saravi,Belgica,6.907755278982137,0.0,2.0794415416798357,8,1,-1.8613036540067283,-3.561303841148474,"Q3: lo-scaling, lo-content"
Saetabis,Hispania citerior,6.907755278982137,0.0,4.624972813284271,102,1,0.6842276175977067,-3.561303841148474,"Q2: lo-scaling, hi-content"
Ortoplinia,Dalmatia,6.907755278982137,0.0,4.442651256490317,85,1,0.5019060608037527,-3.561303841148474,"Q2: lo-scaling, hi-content"
Vegium,Dalmatia,6.907755278982137,0.0,4.1588830833596715,64,1,0.2181378876731075,-3.561303841148474,"Q2: lo-scaling, hi-content"
Diluntum,Dalmatia,6.907755278982137,0.0,4.804021044733257,122,1,0.8632758490466927,-3.561303841148474,"Q2: lo-scaling, hi-content"
Unknown (2),Aquitani(c)a,6.907755278982137,0.0,4.248495242049359,70,1,0.30775004636279535,-3.561303841148474,"Q2: lo-scaling, hi-content"
Pistorium,Etruria / Regio VII,6.907755278982137,0.0,3.8066624897703196,45,1,-0.13408270591624438,-3.561303841148474,"Q3: lo-scaling, lo-content"
Utica,Africa proconsularis,9.715892113239466,1.9459101490553132,6.003887067106539,405,7,0.17409120691889957,-3.545952339906636,"Q2: lo-scaling, hi-content"
Iuliomagus,Lugudunensis,10.026103336076316,2.1972245773362196,5.5053315359323625,246,9,-0.568435346233465,-3.5079042138908263,"Q3: lo-scaling, lo-content"
Avennio,Gallia Narbonensis,8.819813136232225,1.3862943611198906,4.890349128221754,133,4,-0.39618291447774645,-3.4895251355344215,"Q3: lo-scaling, lo-content"
Unknown (3),Gallia Narbonensis,7.8013913202914855,0.6931471805599453,4.343805421853684,77,2,-0.26983319733934774,-3.482520165422449,"Q3: lo-scaling, lo-content"
Agrigentum,Sicilia,10.88429180523535,2.833213344056216,6.016157159698354,410,17,-0.6750149006926263,-3.461909193336319,"Q3: lo-scaling, lo-content"
Iader,Dalmatia,10.297487182535015,2.4849066497880004,6.118097198041348,454,12,-0.2349456878977838,-3.4067951122666185,"Q3: lo-scaling, lo-content"
Thibiuca,Africa proconsularis,8.662504922576291,1.3862943611198906,5.831882477283517,341,4,0.5453504345840168,-3.38137772315027,"Q2: lo-scaling, hi-content"
Suana,Etruria / Regio VII,7.5953872788539725,0.6931471805599453,4.564348191467836,96,2,-0.04929042772519576,-3.3408949857552708,"Q3: lo-scaling, lo-content"
Venta Belgarum,Britannia,9.158836529109067,1.791759469228055,4.5217885770490405,92,6,-1.1583608853836234,-3.317134333117115,"Q3: lo-scaling, lo-content"
Syracusae,Sicilia,11.336558146464489,3.295836866004329,5.953243334287785,385,27,-1.1870343911176748,-3.310213075467428,"Q3: lo-scaling, lo-content"
Thysdrus,Africa proconsularis,10.63436394990608,2.833213344056216,7.1592919047975645,1286,17,0.4681198444065844,-3.2900869457345543,"Q2: lo-scaling, hi-content"
Osca,Hispania citerior,7.519149957669823,0.6931471805599453,3.713572066704308,41,2,-0.9000665524887239,-3.288482789204629,"Q3: lo-scaling, lo-content"
Flavia Solva,Noricum,7.519149957669823,0.6931471805599453,2.6390573296152584,14,2,-1.9745812895777735,-3.288482789204629,"Q3: lo-scaling, lo-content"
Acerrae,Latium et Campania / Regio I,7.519149957669823,0.6931471805599453,6.311734809152915,551,2,1.698096189959883,-3.288482789204629,"Q2: lo-scaling, hi-content"
Boutae,Gallia Narbonensis,8.087025470667701,1.0986122886681098,4.927253685157205,138,3,-0.08000235376899045,-3.2734249323120235,"Q3: lo-scaling, lo-content"
Vetulonia,Etruria / Regio VII,8.034631032923107,1.0986122886681098,4.6913478822291435,109,3,-0.3159081566970521,-3.2374044173388272,"Q3: lo-scaling, lo-content"
Numana,Picenum / Regio V,7.438383530044307,0.6931471805599453,3.8918202981106265,49,2,-0.7218183210824054,-3.2329568891119864,"Q3: lo-scaling, lo-content"
Margum,Moesia superior,9.248021438943871,1.9459101490553132,5.978885764901122,395,7,0.14908990471348282,-3.2242971536989575,"Q2: lo-scaling, hi-content"
Noviomagus (Gallia Lugdunensis),Lugudunensis,9.605148899895818,2.1972245773362196,4.204692619390966,67,9,-1.8690742627748618,-3.218503349520684,"Q3: lo-scaling, lo-content"
Hasta Regia,Baetica,8.727616178321068,1.6094379124341003,4.890349128221754,133,5,-0.6128062123694189,-3.2029973387567763,"Q3: lo-scaling, lo-content"
Numantia,Hispania citerior,7.980023592310645,1.0986122886681098,4.74493212836325,115,3,-0.26232391056294535,-3.1998624908118636,"Q3: lo-scaling, lo-content"
Vulci,Etruria / Regio VII,9.730977703126166,2.302585092994046,6.261491684321042,524,10,0.08544292022340105,-3.1996485487044257,"Q2: lo-scaling, hi-content"
Forum Segusiavorum,Lugudunensis,9.204121072162266,1.9459101490553132,6.369900982828227,584,7,0.540105122640588,-3.1941162053568064,"Q2: lo-scaling, hi-content"
Bantia,Apulia et Calabria / Regio II,8.364275084991524,1.3862943611198906,5.332718793265369,207,4,0.04618675056586863,-3.1763484720961452,"Q2: lo-scaling, hi-content"
Moridunum,Britannia,7.351799869057777,0.6931471805599453,3.044522437723423,21,2,-1.5691161814696089,-3.1734317144703086,"Q3: lo-scaling, lo-content"
Virunum,Noricum,8.877939834725023,1.791759469228055,4.6913478822291435,109,6,-0.9888015802035204,-3.1240213993491444,"Q3: lo-scaling, lo-content"
Valentia (Gallia Narbonensis),Gallia Narbonensis,8.278174290943738,1.3862943611198906,5.308267697401205,202,4,0.02173565470170491,-3.1171552623833003,"Q2: lo-scaling, hi-content"
Thuburnica,Africa proconsularis,8.278174290943738,1.3862943611198906,6.089044875446846,441,4,0.8025128327473459,-3.1171552623833003,"Q2: lo-scaling, hi-content"
Thignica,Africa proconsularis,9.588502797556337,2.302585092994046,7.335633981927201,1534,10,1.1595852178295605,-3.1016988485015204,"Q2: lo-scaling, hi-content"
Bagacum,Belgica,8.558335134747413,1.6094379124341003,5.638354669333745,281,5,0.1351993287425728,-3.0866187568460983,"Q2: lo-scaling, hi-content"
Graviscae,Etruria / Regio VII,8.13739583005665,1.3862943611198906,4.990432586778736,147,4,-0.29609945592076414,-3.0203718464984695,"Q3: lo-scaling, lo-content"
Tauromenium,Sicilia,9.311090275076326,2.1972245773362196,6.218600119691729,502,9,0.14483323752590138,-3.0163417546212146,"Q2: lo-scaling, hi-content"
Forum Iulii (Gallia Narbonensis),Gallia Narbonensis,8.93353229607628,1.9459101490553132,5.872117789475416,355,7,0.04232192928777678,-3.0080898353803516,"Q2: lo-scaling, hi-content"
Avitta,Africa proconsularis,8.90598676523643,1.9459101490553132,7.146772179452637,1270,7,1.316976319264998,-2.98915263042554,"Q2: lo-scaling, hi-content"
Ercavica,Hispania citerior,7.6676260915849905,1.0986122886681098,4.653960350157523,105,3,-0.35329568876867246,-2.98509315007896,"Q3: lo-scaling, lo-content"
Pollentia (Hispania Tarraconensis),Hispania citerior,7.053585727193677,0.6931471805599453,5.634789603169249,280,2,1.0211509839762174,-2.968413254026135,"Q2: lo-scaling, hi-content"
Durnovaria,Britannia,8.628555659269699,1.791759469228055,4.927253685157205,138,6,-0.7528957772754588,-2.9525729248019847,"Q3: lo-scaling, lo-content"
Savaria,Pannonia superior,8.84922702143852,1.9459101490553132,7.4815557019095165,1775,7,1.6517598417218773,-2.950131022610723,"Q2: lo-scaling, hi-content"
Drepanum (Silicia),Sicilia,7.5953872788539725,1.0986122886681098,1.0986122886681098,3,3,-3.9086437502580855,-2.935429877647106,"Q3: lo-scaling, lo-content"
Cillium,Africa proconsularis,8.321907968230423,1.6094379124341003,8.48446336679332,4839,5,2.9813080262021465,-2.924078062486336,"Q2: lo-scaling, hi-content"
Ossonoba,Lusitania,8.278174290943738,1.6094379124341003,5.62040086571715,276,5,0.11724552512597697,-2.8940117110690906,"Q2: lo-scaling, hi-content"
Carcaso,Gallia Narbonensis,6.907755278982137,0.6931471805599453,4.48863636973214,89,2,-0.12500224946089222,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Urbana,Venetia et Histria / Regio X,6.907755278982137,0.6931471805599453,4.465908118654584,87,2,-0.14773050053844816,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Caudium,Apulia et Calabria / Regio II,6.907755278982137,0.6931471805599453,4.382026634673881,80,2,-0.23161198451915066,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Aeminium,Lusitania,6.907755278982137,0.6931471805599453,4.189654742026425,66,2,-0.4239838771666067,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Diana Veteranorum,Numidia,6.907755278982137,0.6931471805599453,5.855071922202427,349,2,1.2414333030093951,-2.8681566605885287,"Q2: lo-scaling, hi-content"
Orippo,Baetica,6.907755278982137,0.6931471805599453,3.7612001156935624,43,2,-0.8524385034994695,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Callet,Baetica,6.907755278982137,0.6931471805599453,6.030685260261263,416,2,1.4170466410682314,-2.8681566605885287,"Q2: lo-scaling, hi-content"
Baiae,Latium et Campania / Regio I,6.907755278982137,0.6931471805599453,5.081404364984463,161,2,0.46776574579143126,-2.8681566605885287,"Q2: lo-scaling, hi-content"
Phintias,Sicilia,6.907755278982137,0.6931471805599453,2.833213344056216,17,2,-1.7804252751368157,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Mirobriga (Hispania Tarraconensis),Baetica,6.907755278982137,0.6931471805599453,3.7376696182833684,42,2,-0.8759690009096635,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Lopsica,Dalmatia,6.907755278982137,0.6931471805599453,4.2626798770413155,71,2,-0.3509587421517164,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Lucurgentum,Baetica,6.907755278982137,0.6931471805599453,3.4339872044851463,31,2,-1.1796514147078856,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Igilgili,Numidia,6.907755278982137,0.6931471805599453,6.29156913955832,540,2,1.6779305203652886,-2.8681566605885287,"Q2: lo-scaling, hi-content"
Irni,Baetica,6.907755278982137,0.6931471805599453,3.6888794541139363,40,2,-0.9247591650790956,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Acruvium,Dalmatia,6.907755278982137,0.6931471805599453,2.5649493574615367,13,2,-2.048689261731495,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Rusazus,Mauretania Caesariensis,6.907755278982137,0.6931471805599453,5.442417710521793,231,2,0.8287790913287614,-2.8681566605885287,"Q2: lo-scaling, hi-content"
Rusuccuru,Mauretania Caesariensis,6.907755278982137,0.6931471805599453,4.955827057601261,142,2,0.342188438408229,-2.8681566605885287,"Q2: lo-scaling, hi-content"
Teurnia,Noricum,6.907755278982137,0.6931471805599453,3.8066624897703196,45,2,-0.8069761294227122,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Agyrium,Sicilia,6.907755278982137,,,0,2,,-2.8681566605885287,
Aprustum,Bruttium et Lucania / Regio III,6.907755278982137,0.6931471805599453,4.5217885770490405,92,2,-0.0918500421439914,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Thaenae,Africa proconsularis,6.907755278982137,0.6931471805599453,5.69035945432406,296,2,1.0767208351310282,-2.8681566605885287,"Q2: lo-scaling, hi-content"
Durobrivae (Britannia) (2),Britannia,6.907755278982137,0.6931471805599453,1.9459101490553132,7,2,-2.6677284701377184,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Pupput,Africa proconsularis,6.907755278982137,0.6931471805599453,5.811140992976701,334,2,1.197502373783669,-2.8681566605885287,"Q2: lo-scaling, hi-content"
Fidentia,Aemilia / Regio VIII,6.907755278982137,0.6931471805599453,4.204692619390966,67,2,-0.40894599980206614,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Flaviobriga,Hispania citerior,6.907755278982137,0.6931471805599453,4.454347296253507,86,2,-0.15929132293952453,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Maraci,Africa proconsularis,6.907755278982137,0.6931471805599453,5.631211781821365,279,2,1.0175731626283335,-2.8681566605885287,"Q2: lo-scaling, hi-content"
Avedda,Africa proconsularis,6.907755278982137,0.6931471805599453,6.077642243349034,436,2,1.4640036241560024,-2.8681566605885287,"Q2: lo-scaling, hi-content"
Iulia Traducta,Baetica,6.907755278982137,0.6931471805599453,2.9444389791664403,19,2,-1.6691996400265916,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Clupea,Africa proconsularis,6.907755278982137,0.6931471805599453,5.0369526024136295,154,2,0.42331398322059766,-2.8681566605885287,"Q2: lo-scaling, hi-content"
Iuliobriga,Hispania citerior,6.907755278982137,0.6931471805599453,4.110873864173311,61,2,-0.5027647550197205,-2.8681566605885287,"Q3: lo-scaling, lo-content"
Eryx,Sicilia,6.907755278982137,,,0,2,,-2.8681566605885287,
Calama,Africa proconsularis,7.8636512654486515,1.3862943611198906,6.102558594613569,447,4,0.816026551914069,-2.8321759117246303,"Q2: lo-scaling, hi-content"
Segermes,Africa proconsularis,7.438383530044307,1.0986122886681098,5.424950017481403,227,3,0.4176939785552074,-2.827491781003822,"Q2: lo-scaling, hi-content"
Lugdunum Convenarum,Aquitani(c)a,8.93353229607628,2.1972245773362196,6.082218910376446,438,9,0.008452028210618856,-2.7567754070994455,"Q2: lo-scaling, hi-content"
Messana,Sicilia,9.351579483668907,2.4849066497880004,6.0473721790462776,423,12,-0.3056707068928546,-2.756495502289717,"Q3: lo-scaling, lo-content"
Meninx,Numidia,8.75904072752422,2.0794415416798357,6.70808408385307,819,8,0.7486586176471013,-2.7545976906552965,"Q2: lo-scaling, hi-content"
Mauves,Gallia Narbonensis,7.736307096548285,1.3862943611198906,6.366470447731438,582,4,1.079938405031938,-2.744628402101852,"Q2: lo-scaling, hi-content"
Madauros,Africa proconsularis,7.736307096548285,1.3862943611198906,6.472346294500901,647,4,1.1858142518014008,-2.744628402101852,"Q2: lo-scaling, hi-content"
Durovernum,Britannia,9.181735114965848,2.3978952727983707,5.278114659230517,196,11,-0.9904593217074202,-2.7267410184487693,"Q3: lo-scaling, lo-content"
Scodra,Dalmatia,8.232706009860976,1.791759469228055,5.420534999272286,226,6,-0.2596144631603776,-2.6804312846307883,"Q3: lo-scaling, lo-content"
Verulamium,Britannia,9.745897631961357,2.833213344056216,4.499809670330265,90,17,-2.191362390060715,-2.679277560495744,"Q3: lo-scaling, lo-content"
Forum Cornelii,Aemilia / Regio VIII,8.75904072752422,2.1972245773362196,6.186208623900494,486,9,0.11244174173466615,-2.6368146549989127,"Q2: lo-scaling, hi-content"
Glanum,Gallia Narbonensis,8.364275084991524,1.9459101490553132,6.3784261836515865,589,7,0.5486303234639474,-2.6167326841607226,"Q2: lo-scaling, hi-content"
Saldae,Mauretania Caesariensis,9.087946723762116,2.4849066497880004,7.325148957955575,1518,12,0.9721060720164427,-2.5752513056836093,"Q2: lo-scaling, hi-content"
Scolacium,Bruttium et Lucania / Regio III,8.034631032923107,1.791759469228055,5.5053315359323625,246,6,-0.17481792650030137,-2.5442572367788823,"Q3: lo-scaling, lo-content"
Morgantina,Sicilia,8.034631032923107,,,0,6,,-2.5442572367788823,
Malaca,Baetica,8.034631032923107,1.791759469228055,8.588955557643128,5372,6,2.9088060952104646,-2.5442572367788823,"Q2: lo-scaling, hi-content"
