urban_context_city,inscription_count,letter_total_conservative,letter_total_interpretive,rank_by_inscription,rank_by_letter_cons,rank_by_letter_intr,delta_rank_cons,delta_rank_intr
Forum Iulii (X Venetia et Histria),75,2266,3571,214,327,327,113,113
Anagnia,75,5620,8048,214,155,174,-59,-40
Terventum,75,4508,7022,214,200,201,-14,-13
Aenona,74,2438,3992,219,310,304,91,85
Sitifis,72,6489,10073,220,127,134,-93,-86
Albintimilium,72,3422,5049,220,242,260,22,40
Florentia,70,3312,5330,222,251,245,29,23
Suasa,70,3097,4792,222,267,274,45,52
Thamugadi,70,10537,21009,222,78,52,-144,-170
Suessa,69,4568,6985,225,199,203,-26,-22
Forum Claudii,69,1510,2904,225,408,375,183,150
Pinna,69,2764,3980,225,283,305,58,80
Forum Novum,68,2076,3236,228,347,347,119,119
Septempeda,68,2473,4565,228,309,284,81,56
Vibo Valentia,68,2952,5439,228,274,239,46,11
Tarvisium,67,2570,4020,231,301,303,70,72
Naissus,66,3098,5609,232,266,229,34,-3
Alba Pompeia,66,2277,4077,232,324,302,92,70
Sentinum,66,7478,9602,232,110,142,-122,-90
Urvinum Hortense,65,770,1814,235,547,466,312,231
Bovianum,65,2278,3877,235,323,309,88,74
Urvinum Mataurense,65,5543,7846,235,158,182,-77,-53
Sopianae,64,2769,5527,238,282,232,44,-6
Privernum,64,3261,5571,238,253,230,15,-8
Novaria,64,3709,5262,238,229,252,-9,14
Fabrateria Nova,64,3352,5103,238,250,256,12,18
Caesarobriga,63,2134,3809,242,341,312,99,70
Tropaeum Traiani,63,5275,9319,242,170,150,-72,-92
Nemausus,63,3947,6542,242,215,213,-27,-29
Antiochia (Cappadocia et Galatia),63,6089,10087,242,141,133,-101,-109
Tridentum,63,2434,3861,242,311,310,69,68
Forum Sempronii,62,5527,7990,247,159,177,-88,-70
Hadrumetum,62,3674,5001,247,231,266,-16,19
Sulcis,61,2843,4345,249,277,292,28,43
Mogentiana,60,1832,4483,250,372,287,122,37
Regium,60,3807,5370,250,221,243,-29,-7
Durostorum,60,6106,10094,250,139,132,-111,-118
Tharrus,60,1439,2249,250,421,428,171,178
Corinium Dobunnorum,60,942,1499,250,497,506,247,256
Falerii Novi,59,3888,6880,255,216,206,-39,-49
Arelate,59,2255,3882,255,329,308,74,53
Auzia,59,9298,13016,255,90,99,-165,-156
Aletrium,58,2237,3704,258,334,322,76,64
Nedinum,58,2853,4385,258,276,291,18,33
Tuder,58,3007,4408,258,273,290,15,32
Cularo,58,3684,4935,258,230,271,-28,13
Ancyra,58,7361,10838,258,112,124,-146,-134
Himera,58,1813,2721,258,374,392,116,134
Caiatia,57,2488,4247,264,308,297,44,33
Cereatae,57,1973,3175,264,360,351,96,87
Aequi,57,3160,4766,264,261,275,-3,11
Bellunum,57,2515,3775,264,305,314,41,50
Caesarea Maritima,56,3058,6670,268,268,210,0,-58
Atina,56,3356,5330,268,249,245,-19,-23
Parlais,55,3238,5166,270,255,253,-15,-17
Volaterra,55,1726,2964,270,385,370,115,100
Auximum,55,5431,8428,270,163,167,-107,-103
Gabii,55,5225,7608,270,172,186,-98,-84
Albingaunum,54,2061,3401,274,350,338,76,64
Romula,54,1973,3264,274,360,344,86,70
Labitolosa,54,795,1043,274,542,583,268,309
Ovilava,54,3393,6210,274,245,223,-29,-51
Gorsium,53,1311,2433,278,440,411,162,133
Nora,53,2242,3764,278,332,317,54,39
Delminium,53,1416,2823,278,425,383,147,105
Fidenae,52,2405,3722,281,313,320,32,39
Placentia,51,3215,5294,282,257,248,-25,-34
Egnatia,51,1304,2557,282,442,402,160,120
Lavinium,50,6325,8800,284,131,158,-153,-126
Regium Lepidum,50,3718,5372,284,228,242,-56,-42
Buthrotum,50,1642,2545,284,392,403,108,119
Veleia,50,44040,59055,284,10,12,-274,-272
Diospolis Magna,49,5154,7463,288,175,191,-113,-97
Berytus,49,4339,7908,288,203,179,-85,-109
Tuficum,49,3369,5479,288,248,234,-40,-54
Aquae Statiellae,48,1633,2630,291,394,399,103,108
Italica,47,2598,4463,292,297,289,5,-3
Ilici,47,1168,2117,292,459,440,167,148
Narnia,47,2597,3774,292,298,315,6,23
Macomades,47,761,1030,292,550,589,258,297
Risinium,46,1799,2656,296,375,395,79,99
Aveia,46,2349,4313,296,316,293,20,-3
Scardona,45,2063,3242,298,349,346,51,48
Locri,45,2130,3258,298,342,345,44,47
Carseoli,45,2172,3448,298,339,334,41,36
Vicetia,45,1831,2902,298,373,376,75,78
Lindum,45,1391,2417,298,428,413,130,115
Noviodunum (Germania Superior),45,1771,3524,298,381,332,83,34
Corinium,45,1933,3048,298,365,364,67,66
Aquae Mattiacorum,45,4203,7434,298,208,193,-90,-105
Helvia Ricina,45,2428,3545,298,312,329,14,31
Industria,45,2526,4626,298,303,280,5,-18
Egitania,45,1906,3034,298,368,365,70,67
Albona,44,1419,2199,309,424,433,115,124
Neapolis (Macedonia),44,3506,5007,309,236,265,-73,-44
Camulodunum,43,1022,1924,311,481,453,170,142
Iuvanum,43,2692,4101,311,290,301,-21,-10
Teanum Apulum,43,1773,2824,311,380,382,69,71
Ancona,42,2271,3584,314,326,326,12,12
Aguntum,42,2566,3937,314,302,307,-12,-7
Laus Pompeia,41,2495,3709,316,307,321,-9,5
Epidaurum,41,2244,3113,316,331,355,15,39
Vettona,41,2207,3528,316,336,331,20,15
Bovillae,41,1847,2991,316,371,368,55,52
Abella,41,2797,4125,316,279,300,-37,-16
Segesta,40,642,876,321,593,621,272,300
Byllis,40,2175,3295,321,338,342,17,21
Lilybaeum,40,2736,4497,321,285,286,-36,-35
Lupiae,40,1629,2653,321,395,396,74,75
Pergamum,40,7138,8431,321,118,166,-203,-155
Dertosa,40,2727,3778,321,287,313,-34,-8
Pisae,40,5994,8266,321,144,171,-177,-150
Sestinum,39,2809,4578,328,278,282,-50,-46
Obulco,39,3141,4962,328,264,270,-64,-58
Panormus,39,3052,5042,328,269,263,-59,-65
Domavium,39,2108,3742,328,345,319,17,-9
Asturica,39,2622,3758,328,294,318,-34,-10
Gerasa,38,3622,5296,333,233,247,-100,-86
Trea,38,1641,2539,333,393,404,60,71
Trebula Mutuesca,38,4762,7551,333,193,189,-140,-144
Cetium,38,1575,3179,333,400,350,67,17
Uthina,38,1616,2832,333,398,381,65,48
Philadelphia (Syria),38,3731,6570,333,226,212,-107,-121
Potentia (Italia (V Picenum)),37,921,1308,339,506,535,167,196
Banasa,37,11194,19457,339,68,57,-271,-282
Ulpiana,37,3015,4302,339,272,294,-67,-45
Cremona,37,3182,4728,339,259,278,-80,-61
Aeso,36,2289,3627,343,321,324,-22,-19
Hispalis,36,7447,8511,343,111,164,-232,-179
Tragurium,36,1618,2682,343,397,394,54,51
Hasta,36,1753,2805,343,382,384,39,41
Alexandria (Aegyptus),36,5643,8598,343,153,161,-190,-182
Angitia,36,958,1567,343,491,496,148,153
Aelia Capitolina,36,992,2443,343,487,409,144,66
Magnum,36,730,1685,343,559,477,216,134
Forum Livii,36,1715,2955,343,388,372,45,29
Rudiae,35,869,1533,352,519,503,167,151
Baetulo,35,1356,1870,352,431,460,79,108
Arae Flaviae,35,912,1460,352,508,515,156,163
Ferentum,35,1727,2930,352,384,374,32,22
Bostra,35,3402,6459,352,244,218,-108,-134
Toletum,35,932,1596,352,502,489,150,137
Celsa,35,466,645,352,645,685,293,333
Beda,34,943,1590,359,496,491,137,132
Gades,34,956,1717,359,493,474,134,115
Dard(...),33,1335,2408,361,435,416,74,55
Lipara,33,883,1136,361,515,570,154,209
Sutrium,33,6300,7384,361,133,195,-228,-166
Illiberi,33,1643,3067,361,391,362,30,1
Aecae,33,1711,2841,361,389,380,28,19
Tiddis,33,1509,2497,361,409,405,48,44
Signia,33,2213,3199,361,335,348,-26,-13
Liternum,32,3031,4192,368,270,298,-98,-70
Ratae,32,653,853,368,589,625,221,257
Olisipo,32,1629,2779,368,395,386,27,18
Trebula Balliensis,31,1350,2217,371,433,431,62,60
Tipasa,31,2042,3111,371,351,356,-20,-15
Saturnia,31,1946,3089,371,364,358,-7,-13
Castrum Novum (Italia (VII Etruria)),31,1959,2603,371,363,401,-8,30
Lucentum,31,703,1235,371,572,543,201,172
Epamanduodurum,31,870,1571,371,518,493,147,122
Aurgi,31,1509,2477,371,409,406,38,35
Bracara,30,889,1556,378,512,497,134,119
Numistro,30,1454,2180,378,417,436,39,58
Ossigi,30,1275,2185,378,446,434,68,56
Mantua,30,3207,5120,378,258,255,-120,-123
Iptuci,30,712,1237,378,567,542,189,164
Segovia,29,941,1658,383,498,482,115,99
Atella,29,2327,3276,383,317,343,-66,-40
Cingulum,29,1012,1669,383,484,479,101,96
Salmantica,29,958,1856,383,491,462,108,79
Callatis,29,1983,4986,383,358,268,-25,-115
Ruscino,29,425,1122,383,670,572,287,189
Vesunna,29,824,1367,383,531,525,148,142
Absortium,29,1367,1871,383,429,459,46,76
Cuicul,29,3409,5441,383,243,238,-140,-145
Camerinum,28,2038,2969,392,354,369,-38,-23
Stobi,28,2606,3564,392,295,328,-97,-64
Viroconium,28,1306,2342,392,441,418,49,26
Forum Popili (Italia (VIII Aemilia)),28,1126,1705,392,463,476,71,84
Syracusae,27,1447,2030,396,418,444,22,48
Tolosa,27,603,759,396,602,655,206,259
Sinuessa,27,1083,1661,396,476,481,80,85
Brixellum,27,2042,2862,396,351,378,-45,-18
Cabillonum,27,1302,2079,396,443,441,47,45
Noviomagus (Germania Superior),27,862,1476,396,520,510,124,114
Nepet,27,2184,3180,396,337,349,-59,-47
Palmyra,27,2004,3358,396,355,341,-41,-55
Parentium,27,1929,3056,396,366,363,-30,-33
Cora,27,1411,2069,396,426,442,30,46
Ulia,27,2140,2856,396,340,379,-56,-17
Tolentinum,27,1284,1867,396,445,461,49,65
Heraclea (Thracia),27,2380,3388,396,314,340,-82,-56
Vasio,27,678,1065,396,581,581,185,185
Calleva,26,449,729,410,653,663,243,253
Tifernum Tiberinum,26,1867,2791,410,370,385,-40,-25
Atria,26,1468,2305,410,414,421,4,11
Grumentum,26,1316,2285,410,439,424,29,14
Barium,26,1317,1961,410,438,449,28,39
Petelia,26,3888,4634,410,216,279,-194,-131
Flanona,25,673,1072,416,582,579,166,163
Glevum,25,412,802,416,675,640,259,224
Apamea (Syria) (1),25,2040,3843,416,353,311,-63,-105
Matilica,25,1271,1915,416,447,455,31,39
Pausulae,25,759,1277,416,552,537,136,121
Intaranum,25,554,1005,416,616,591,200,175
Larinum,25,3019,4580,416,271,281,-145,-135
Uchi Maius,25,2111,3612,416,344,325,-72,-91
Cortona,24,852,1347,424,525,528,101,104
Heliopolis (Syria),24,1789,3072,424,377,361,-47,-63
Pedona,24,952,1547,424,494,499,70,75
Palma,24,706,957,424,570,599,146,175
Aquae Tarbellicae,24,574,869,424,609,622,185,198
Thala,24,923,1483,424,505,509,81,85
Musti,24,2573,3977,424,300,306,-124,-118
Velia,24,1443,2064,424,419,443,-5,19
Cosa,24,813,1654,424,535,483,111,59
Lousonna,24,804,1217,424,539,549,115,125
Arupium,24,889,1468,424,512,513,88,89
Tubusuctu,24,1507,2757,424,411,388,-13,-36
Iliturgi,24,1353,2133,424,432,439,8,15
Issa,23,820,1229,437,532,546,95,109
Senia,23,1054,1771,437,479,469,42,32
Sumelocenna,23,744,1434,437,554,517,117,80
Tyndaris,23,909,1961,437,509,449,72,12
Pitinum Pisaurense,23,1398,2154,437,427,438,-10,1
Aquae Balissae,23,1751,2410,437,383,415,-54,-22
Caesaraugusta,23,937,1277,437,500,537,63,100
Potentia (Italia (III Lucania et Brutii)),23,1120,2007,437,465,446,28,9
Carnuntum (2),22,2293,4935,445,320,271,-125,-174
Dium,22,1250,1880,445,450,457,5,12
Arpinum,22,944,1665,445,495,480,50,35
Serdica,22,1551,2239,445,404,429,-41,-16
Ilerda,22,508,825,445,632,630,187,185
Arba,22,1158,1917,445,461,454,16,9
Sufetula,22,1095,1876,445,473,458,28,13
Sardis,22,10329,12018,445,80,111,-365,-334
Regina,22,727,1207,445,562,550,117,105
Cambodunum,22,993,1822,445,486,465,41,20
Fagifulae,21,1107,1974,455,469,448,14,-7
Feltria,21,1420,2254,455,423,427,-32,-28
Divodurum,21,774,1241,455,546,540,91,85
Ebusus,21,1188,1758,455,456,470,1,15
Ansium,21,494,843,455,638,627,183,172
Beroea (Thracia),20,1720,2728,460,387,390,-73,-70
Oea,20,1326,1741,460,437,472,-23,12
Noviomagus (Britannia (Inferior et Superior)),20,437,786,460,664,645,204,185
Copia,20,1432,2222,460,422,430,-38,-30
Miletus,20,3149,4273,460,263,295,-197,-165
Coptos,20,4878,6528,460,185,214,-275,-246
Calagurris,20,401,923,460,678,608,218,148
Cannae,20,1570,2426,460,401,412,-59,-48
Cures,20,2700,4260,460,289,296,-171,-164
Aquae Sextiae,20,730,1143,460,559,564,99,104
Sinope,20,1798,3532,460,376,330,-84,-130
Gortyna,19,2587,3141,471,299,353,-172,-118
Urgao,19,926,1591,471,504,490,33,19
Forum Popili (Italia (I Latium and Campania)),19,1549,2208,471,405,432,-66,-39
Bilbilis,19,219,386,471,798,789,327,318
Mactaris,19,3848,5279,471,219,251,-252,-220
Rapidum,19,1992,3405,471,356,337,-115,-134
Massalia,19,725,1032,471,564,587,93,116
Capsa,19,856,1652,471,523,484,52,13
Anazarbus,19,2321,3079,471,318,359,-153,-112
Venta Silurum,19,351,533,471,703,723,232,252
Philippopolis (Thracia),19,1907,3105,471,367,357,-104,-114
Cubulteria,18,646,1023,482,591,590,109,108
Laepia,18,568,1040,482,613,585,131,103
Mevaniola,18,817,1290,482,534,536,52,54
Iconium,18,4328,6441,482,204,220,-278,-262
Mediolanum (Gallia Lugdunensis) (2),18,348,495,482,707,741,225,259
Durobrivae (Britannia) (1),18,162,267,482,834,845,352,363
Cupra Maritima,18,520,812,482,629,635,147,153
Brigantium,17,686,991,489,578,593,89,104
Butua,17,666,899,489,583,613,94,124
Ucubi,17,859,1485,489,521,507,32,18
Cluviae,17,699,988,489,573,594,84,105
Thysdrus,17,1286,1884,489,444,456,-45,-33
Pax Iulia,17,658,1137,489,586,568,97,79
Eporedia,17,1090,1415,489,474,519,-15,30
Salvium,17,464,1077,489,647,578,158,89
Agrigentum,17,741,1067,489,555,580,66,91
Zucchabar,17,1237,1756,489,451,471,-38,-18
Gigthis,17,1648,2994,489,390,366,-99,-123
Alexandria (Asia),17,1979,3400,489,359,339,-130,-150
Acelum,17,788,1226,489,544,548,55,59
Sipontum,17,1064,1620,489,477,487,-12,-2
Verulamium,17,90,395,489,913,783,424,294
Metellinum,17,533,973,489,624,598,135,109
Apamea (Syria) (2),17,497,717,489,636,669,147,180
Antinum,17,1556,2449,489,402,408,-87,-81
Petra,16,1113,2771,507,467,387,-40,-120
Lindus,16,2285,2993,507,322,367,-185,-140
Tuscana,16,465,739,507,646,660,139,153
Beroea (Macedonia),16,2652,3166,507,292,352,-215,-155
Setia,16,1342,1835,507,434,463,-73,-44
Agbia,16,1222,1951,507,452,452,-55,-55
Acrae,16,1967,2303,507,362,422,-145,-85
Cissa,16,727,912,507,562,611,55,104
Caesena,16,770,1354,507,547,526,40,19
Anxanum,16,1364,2652,507,430,397,-77,-110
Horta,16,396,814,507,681,634,174,127
Abodiacum,16,721,1337,507,565,530,58,23
Arna,16,472,705,507,642,670,135,163
Saticula,16,780,1180,507,545,556,38,49
Iomnium,16,1064,1609,507,477,488,-30,-19
Libarna,15,887,1354,522,514,526,-8,4
Forum Cassii,15,628,861,522,596,623,74,101
Isturgi,15,709,1183,522,569,554,47,32
Thuburbo Maius,15,1441,2639,522,420,398,-102,-124
Nicopolis (Moesia Inferior),15,4313,5066,522,205,259,-317,-263
Condate Redonum,15,1218,2261,522,453,426,-69,-96
Hippo Regius,15,736,1235,522,556,543,34,21
Baloie,15,608,942,522,599,600,77,78
Luca,15,898,1958,522,511,451,-11,-71
Rubi,15,835,1312,522,526,534,4,12
Asido,15,279,449,522,752,758,230,236
Atuatuca,15,696,1159,522,574,558,52,36
Genava,14,999,1685,534,485,477,-49,-57
Pompaelo,14,761,1080,534,550,577,16,43
Carmo,14,1176,1776,534,457,468,-77,-66
Thubursicum Numidarum,14,1191,1708,534,455,475,-79,-59
Conimbriga,14,334,568,534,711,706,177,172
Cyrene,14,1126,1542,534,463,502,-71,-32
Thamusida,14,1483,4474,534,412,288,-122,-246
Genua,14,535,911,534,623,612,89,78
Vitellia,14,876,1410,534,517,521,-17,-13
Sacili,14,932,1447,534,502,516,-32,-18
Turiaso,14,477,915,534,641,610,107,76
Argyruntum,14,431,778,534,668,648,134,114
Tyrus,14,829,1399,534,528,522,-6,-12
Volturnum,14,1467,2352,534,415,417,-119,-117
Heliopolis (Aegyptus),14,1904,3074,534,369,360,-165,-174
Abdera (Baetica),14,470,850,534,643,626,109,92
Heba,14,4782,7064,534,192,200,-342,-334
