,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
alpha_prov_raw[26],-0.549,0.264,-0.97,-0.13,3031,5548,1.00,0.0048,0.0035
alpha_prov_raw[27],0.94,0.485,0.2,1.8,5437,6202,1.00,0.0066,0.0047
alpha_prov_raw[28],1.28,0.324,0.79,1.8,3249,5245,1.00,0.0057,0.0042
alpha_prov_raw[29],0.18,0.245,-0.21,0.57,2232,3877,1.00,0.0052,0.0037
alpha_prov_raw[30],1.42,0.247,1,1.8,2016,3061,1.00,0.0055,0.004
alpha_prov_raw[31],-0.055,0.312,-0.55,0.45,4411,5763,1.00,0.0047,0.0034
alpha_prov_raw[32],-0.25,0.341,-0.79,0.29,2742,5122,1.00,0.0065,0.0046
alpha_prov_raw[33],-0.24,0.318,-0.75,0.27,3614,5232,1.00,0.0053,0.0038
alpha_prov_raw[34],-2.24,0.44,-3,-1.5,3549,5589,1.00,0.0074,0.0052
alpha_prov_raw[35],-0.111,0.277,-0.55,0.34,3214,5158,1.00,0.0049,0.0036
alpha_prov_raw[36],-1.01,0.318,-1.5,-0.51,2804,4916,1.00,0.006,0.0044
alpha_prov_raw[37],-0.42,0.483,-1.2,0.38,6721,7055,1.00,0.0059,0.0044
alpha_prov_raw[38],0.84,0.361,0.29,1.4,4301,5962,1.00,0.0055,0.004
alpha_prov_raw[39],0.86,0.373,0.29,1.5,4480,6361,1.00,0.0056,0.0041
alpha_prov_raw[40],0.75,0.376,0.18,1.4,4656,6301,1.00,0.0055,0.0041
alpha_prov_raw[41],0.597,0.325,0.097,1.1,4666,6211,1.00,0.0047,0.0034
alpha_prov_raw[42],-0.59,0.5,-1.4,0.21,3145,5187,1.00,0.0089,0.0064
alpha_prov_raw[43],0.74,0.436,0.073,1.5,6663,7864,1.00,0.0054,0.0039
alpha_prov_raw[44],1.49,0.335,0.97,2,3210,5066,1.00,0.0059,0.0043
alpha_prov_raw[45],0.148,0.297,-0.32,0.63,3660,5302,1.00,0.0049,0.0035
alpha_prov_raw[46],-1.46,0.411,-2.1,-0.81,4172,7009,1.00,0.0064,0.0046
alpha_prov_raw[47],-0.12,0.507,-0.9,0.71,7309,7762,1.00,0.0059,0.0045
alpha_prov_raw[48],0.77,0.28,0.34,1.2,2541,3976,1.00,0.0056,0.0039
alpha_prov_raw[49],0.94,0.422,0.3,1.6,4555,6242,1.00,0.0063,0.0044
alpha_prov_raw[50],-0.69,0.284,-1.1,-0.24,2806,5112,1.00,0.0054,0.0039
alpha_prov_raw[51],-0.67,0.35,-1.2,-0.11,2632,4187,1.00,0.0069,0.005
alpha_prov_raw[52],-0.934,0.354,-1.5,-0.36,5111,6772,1.00,0.0049,0.0036
alpha_prov_raw[53],1.15,0.368,0.58,1.8,3738,5588,1.00,0.006,0.0044
alpha_prov_raw[54],0.474,0.255,0.075,0.88,2729,4712,1.00,0.0049,0.0035
alpha_prov_raw[55],1.17,0.283,0.74,1.6,3085,4793,1.00,0.0051,0.0038
alpha_prov[0],-0.16,0.333,-0.69,0.38,2620,4218,1.00,0.0065,0.0046
alpha_prov[1],-0.46,0.388,-1.1,0.16,3232,5606,1.00,0.0068,0.0048
alpha_prov[2],0.323,0.319,-0.18,0.85,4222,5846,1.00,0.0049,0.0037
alpha_prov[3],-0.329,0.215,-0.67,0.018,2132,3874,1.00,0.0047,0.0034
alpha_prov[4],0.76,0.73,-0.33,2,7444,6785,1.00,0.0086,0.0064
alpha_prov[5],1.13,0.69,0.099,2.3,7535,7038,1.00,0.0081,0.0061
alpha_prov[6],0.44,0.75,-0.67,1.7,10242,7865,1.00,0.0076,0.0058
alpha_prov[7],0.27,0.271,-0.15,0.72,2729,4652,1.00,0.0052,0.0037
alpha_prov[8],0.3,0.358,-0.26,0.89,3324,5354,1.00,0.0062,0.0044
alpha_prov[9],-0.96,0.419,-1.6,-0.26,5848,7606,1.00,0.0055,0.004
alpha_prov[10],-1.48,0.28,-1.9,-1,2640,4536,1.00,0.0054,0.0039
alpha_prov[11],-0.82,0.278,-1.3,-0.37,2108,3585,1.00,0.006,0.0043
alpha_prov[12],0.05,0.368,-0.53,0.65,3915,6073,1.00,0.0059,0.0042
alpha_prov[13],0.01,0.87,-1.3,1.4,6571,7459,1.00,0.011,0.0076
alpha_prov[14],0.96,0.52,0.18,1.8,6974,7310,1.00,0.0063,0.0046
alpha_prov[15],0.37,0.292,-0.088,0.84,2940,4757,1.00,0.0054,0.0039
alpha_prov[16],-0.24,0.31,-0.72,0.27,3202,5157,1.00,0.0055,0.004
alpha_prov[17],-1.99,0.65,-3,-0.9,6590,7630,1.00,0.008,0.0057
alpha_prov[18],-2.25,0.447,-2.9,-1.5,6289,7777,1.00,0.0056,0.004
alpha_prov[19],0.47,0.77,-0.69,1.7,7379,6897,1.00,0.0091,0.0069
alpha_prov[20],-1.05,0.54,-1.9,-0.18,5373,6378,1.00,0.0074,0.0053
alpha_prov[21],-1.42,0.72,-2.5,-0.23,8586,7864,1.00,0.0078,0.0056
alpha_prov[22],2.04,0.361,1.5,2.6,4802,6859,1.00,0.0052,0.0038
alpha_prov[23],0.42,0.306,-0.063,0.91,2063,3589,1.00,0.0067,0.0049
alpha_prov[24],0.263,0.245,-0.12,0.66,2545,4123,1.00,0.0049,0.0035
alpha_prov[25],-0.82,0.502,-1.6,0.015,6566,7307,1.00,0.0062,0.0046
alpha_prov[26],-0.59,0.278,-1,-0.14,3222,5578,1.00,0.0049,0.0036
alpha_prov[27],1.02,0.52,0.22,1.9,5995,7371,1.00,0.0067,0.005
alpha_prov[28],1.38,0.324,0.88,1.9,4065,5527,1.00,0.0051,0.0037
alpha_prov[29],0.19,0.265,-0.23,0.61,2139,3622,1.00,0.0057,0.0041
alpha_prov[30],1.526,0.209,1.2,1.9,2083,3770,1.00,0.0046,0.0032
alpha_prov[31],-0.06,0.335,-0.58,0.48,4284,5758,1.00,0.0051,0.0037
alpha_prov[32],-0.27,0.367,-0.85,0.31,2827,4999,1.00,0.0069,0.0049
alpha_prov[33],-0.26,0.34,-0.79,0.29,3565,5255,1.00,0.0057,0.004
alpha_prov[34],-2.41,0.424,-3.1,-1.7,5728,7154,1.00,0.0056,0.0041
alpha_prov[35],-0.12,0.297,-0.58,0.37,3155,4977,1.00,0.0053,0.0038
alpha_prov[36],-1.09,0.321,-1.6,-0.56,3397,5448,1.00,0.0055,0.004
alpha_prov[37],-0.45,0.515,-1.2,0.42,6873,6919,1.00,0.0062,0.0045
alpha_prov[38],0.91,0.382,0.31,1.5,4419,6223,1.00,0.0057,0.0042
alpha_prov[39],0.92,0.397,0.32,1.6,4655,6425,1.00,0.0058,0.0043
alpha_prov[40],0.81,0.402,0.2,1.5,4745,6266,1.00,0.0058,0.0042
alpha_prov[41],0.64,0.346,0.11,1.2,4692,6509,1.00,0.0051,0.0036
alpha_prov[42],-0.64,0.54,-1.5,0.23,3039,4717,1.00,0.0098,0.0071
alpha_prov[43],0.8,0.465,0.08,1.6,7018,7632,1.00,0.0056,0.004
alpha_prov[44],1.6,0.327,1.1,2.1,4372,6198,1.00,0.005,0.0035
alpha_prov[45],0.16,0.319,-0.33,0.68,3519,5493,1.00,0.0054,0.0038
alpha_prov[46],-1.57,0.424,-2.2,-0.87,5865,7947,1.00,0.0055,0.004
alpha_prov[47],-0.13,0.544,-0.96,0.77,7311,7656,1.00,0.0064,0.0047
alpha_prov[48],0.83,0.294,0.37,1.3,2469,4244,1.00,0.0059,0.0042
alpha_prov[49],1.02,0.453,0.32,1.8,4499,5961,1.00,0.0068,0.0047
alpha_prov[50],-0.74,0.297,-1.2,-0.26,3094,5222,1.00,0.0053,0.0038
alpha_prov[51],-0.73,0.38,-1.3,-0.11,2639,4578,1.00,0.0074,0.0053
alpha_prov[52],-1.005,0.371,-1.6,-0.39,5693,7156,1.00,0.0049,0.0036
alpha_prov[53],1.24,0.379,0.65,1.9,4221,6421,1.00,0.0058,0.0042
alpha_prov[54],0.51,0.272,0.083,0.95,2633,4636,1.00,0.0053,0.0038
alpha_prov[55],1.263,0.278,0.83,1.7,3515,5473,1.00,0.0047,0.0033
