urban_context_city,count
Augusta Bagiennorum,103
Anderitum,102
Doclea,102
Bergomum,101
Teate Marrucinorum,99
Arretium,99
Cales,98
Aequum,98
Falerio,97
Municipium S,97
Vienna,97
Veii,95
Opitergum,94
Montana,94
Urbs Salvia,94
Ravenna,94
Tibiscum,94
Aleria,93
Vercellae,93
Troesmis,91
Firmum,91
Superaequum,91
Carsulae,89
Fundi,89
Sora,89
Interamnia Praetuttiorum,88
Histria,88
Nuceria Alfaterna,88
Iulium Carnicum,87
Thessalonica,87
Ocriculum,87
Abellinum,87
Augusta Auscorum,86
Trebula Suffenas,86
Volubilis,84
Fanum Fortunae,84
Centumcellae,83
Dertona,83
Napoca,82
Parma,82
Athenae,81
Herdoniae,79
Olbia,78
Sarsina,78
Lucus Feroniae,77
Volcei,77
Augusta Praetoria,77
Tegianum,76
Forum Iulii (X Venetia et Histria),75
Interamna Lirenas,75
Anagnia,75
Urso,75
Terventum,75
Aenona,74
Albintimilium,72
Sitifis,72
Suasa,70
Thamugadi,70
Florentia,70
Suessa,69
Forum Claudii,69
Pinna,69
Forum Novum,68
Vibo Valentia,68
Septempeda,68
Naissus,67
Tarvisium,67
Sentinum,66
Alba Pompeia,66
Urvinum Hortense,65
Sopianae,65
Bovianum,65
Urvinum Mataurense,65
Tridentum,64
Fabrateria Nova,64
Novaria,64
Privernum,64
Antiochia (Cappadocia et Galatia),63
Nemausus,63
Tropaeum Traiani,63
Caesarobriga,63
Mogentiana,62
Forum Sempronii,62
Hadrumetum,62
Sulcis,61
Corinium Dobunnorum,61
Durostorum,61
Regium,60
Tharrus,60
Falerii Novi,59
Arae Flaviae,59
Arelate,59
Auzia,59
Tuder,58
Ancyra,58
Aletrium,58
Nedinum,58
Himera,58
Cularo,58
Bellunum,57
Cereatae,57
Caiatia,57
Aequi,57
Atina,56
Aquae Mattiacorum,56
Caesarea Maritima,56
Auximum,55
Albingaunum,55
Volaterra,55
Romula,55
Gabii,55
Parlais,55
Ovilava,54
Labitolosa,54
Gorsium,53
Nora,53
Delminium,53
Fidenae,52
Placentia,51
Egnatia,51
Buthrotum,50
Berytus,50
Noviodunum (Germania Superior),50
Regium Lepidum,50
Lavinium,50
Veleia,50
Diospolis Magna,49
Noviomagus (Germania Superior),49
Tuficum,49
Aquae Statiellae,48
Ilici,47
Risinium,47
Macomades,47
Italica,47
Narnia,47
Lindum,47
Egitania,46
Aveia,46
Vicetia,45
Corinium,45
Helvia Ricina,45
Albona,45
Scardona,45
Industria,45
Locri,45
Carseoli,45
Neapolis (Macedonia),44
Camulodunum,43
Teanum Apulum,43
Iuvanum,43
Ancona,42
Aguntum,42
Uthina,41
Bovillae,41
Laus Pompeia,41
Epidaurum,41
Vettona,41
Abella,41
Segesta,40
Dertosa,40
Pisae,40
Byllis,40
Lilybaeum,40
Pergamum,40
Lupiae,40
Obulco,39
Asturica,39
Panormus,39
Domavium,39
Sestinum,39
Trea,38
Trebula Mutuesca,38
Gerasa,38
Cetium,38
Philadelphia (Syria),38
Baetulo,37
Cremona,37
Alexandria (Aegyptus),37
Potentia (Italia (V Picenum)),37
Banasa,37
Epamanduodurum,37
Ulpiana,37
Hasta,36
Angitia,36
Forum Livii,36
Hispalis,36
Aeso,36
Tragurium,36
Magnum,36
Aelia Capitolina,36
Celsa,35
Rudiae,35
Toletum,35
Bostra,35
Ferentum,35
Beda,34
Gades,34
Olisipo,33
Signia,33
Sutrium,33
Illiberi,33
Lipara,33
Aecae,33
Dard(...),33
Tiddis,33
Liternum,32
Ratae,32
Castrum Novum (Italia (VII Etruria)),31
Lucentum,31
Ossigi,31
Trebula Balliensis,31
Aurgi,31
Tipasa,31
Saturnia,31
Iptuci,30
Bracara,30
Numistro,30
Mantua,30
Cingulum,29
Ruscino,29
Absortium,29
Lousonna,29
Callatis,29
Atella,29
Vesunna,29
Viroconium,29
Cuicul,29
Salmantica,29
Segovia,29
Stobi,28
Camerinum,28
Forum Popili (Italia (VIII Aemilia)),28
Cabillonum,27
Nepet,27
Cora,27
Sinuessa,27
Syracusae,27
Parentium,27
Ulia,27
Tolosa,27
Vasio,27
Brixellum,27
Calleva,27
Heraclea (Thracia),27
Palmyra,27
Tolentinum,27
Tifernum Tiberinum,26
Atria,26
Intaranum,26
Barium,26
Petelia,26
Grumentum,26
Apamea (Syria) (1),25
Larinum,25
Matilica,25
Uchi Maius,25
Pausulae,25
Glevum,25
Flanona,25
Musti,24
Velia,24
Heliopolis (Syria),24
Aquae Tarbellicae,24
Tubusuctu,24
Arupium,24
Thala,24
Cosa,24
Cortona,24
Pedona,24
Iliturgi,24
Palma,24
Pitinum Pisaurense,23
Ilerda,23
Potentia (Italia (III Lucania et Brutii)),23
Senia,23
Tyndaris,23
Serdica,23
Sumelocenna,23
Caesaraugusta,23
Aquae Balissae,23
Issa,23
Divodurum,22
Cambodunum,22
Regina,22
Carnuntum (2),22
Sufetula,22
Arba,22
Dium,22
Sardis,22
Arpinum,22
Feltria,21
Ebusus,21
Fagifulae,21
Oea,21
Ansium,21
Aquae Sextiae,20
Copia,20
Cures,20
Sinope,20
Calagurris,20
Cannae,20
Miletus,20
Beroea (Thracia),20
Coptos,20
Noviomagus (Britannia (Inferior et Superior)),20
Bilbilis,19
Massalia,19
Venta Silurum,19
Urgao,19
Anazarbus,19
Forum Popili (Italia (I Latium and Campania)),19
Philippopolis (Thracia),19
Gortyna,19
Rapidum,19
Capsa,19
Mactaris,19
Mediolanum (Gallia Lugdunensis) (2),19
Cubulteria,18
Mevaniola,18
Metellinum,18
Durobrivae (Britannia) (1),18
Cupra Maritima,18
Laepia,18
Iconium,18
Zucchabar,17
Acelum,17
Gigthis,17
Pax Iulia,17
Abodiacum,17
Antinum,17
Verulamium,17
Ucubi,17
Brigantium,17
Agrigentum,17
Sipontum,17
Thysdrus,17
Butua,17
Apamea (Syria) (2),17
Eporedia,17
Cluviae,17
Salvium,17
Alexandria (Asia),17
Saticula,16
Setia,16
Tuscana,16
Arna,16
Cissa,16
Caesena,16
Horta,16
Acrae,16
Anxanum,16
Iomnium,16
Agbia,16
Beroea (Macedonia),16
Lindus,16
Petra,16
Libarna,15
Hippo Regius,15
Luca,15
Forum Cassii,15
Atuatuca,15
Isturgi,15
Baloie,15
Thuburbo Maius,15
Condate Redonum,15
Turiaso,15
Rubi,15
Asido,15
Nicopolis (Moesia Inferior),15
Volturnum,14
Sacili,14
Conimbriga,14
Thamusida,14
Argyruntum,14
Thubursicum Numidarum,14
Vitellia,14
Tyrus,14
Cyrene,14
Heba,14
Heliopolis (Aegyptus),14
Genua,14
Genava,14
Pompaelo,14
Carmo,14
Lucus Augusti (Hispania Tarraconensis),14
Abdera (Baetica),14
Dierna,13
Ausculum,13
Laumellum,13
Laodicea (Asia),13
Lutetia,13
Odessus,13
Verulae,13
Nuceria Camellaria,13
Onchesmus,13
Ardea,13
Nicaea,13
Delphi,12
Limisa,12
Deultum,12
Curia,12
Croton,12
Thespiae,12
Delos,12
Caesaromagus (Britannia),12
Augustodurum,12
Saldae,12
Ilipa,12
Aphrodisias,12
Plestia,12
Remesiana,12
Cabyle,12
Messana,12
Cnossus,12
Heraclea (Italia (III Lucania et Brutii)),12
Iader,12
Bulla Regia,12
Nilopolis,12
Vertillum,11
Ris,11
Melita,11
Durovernum,11
Thubursicum Bure,11
Sena Gallica,11
Samothrace,11
Carreum,11
Amasia,11
Salacia,11
Durnovaria,11
Ilugo,10
Metulum,10
Faesulae,10
Thignica,10
Thelepte,10
Vulci,10
Antipolis,10
Nicopolis (Achaea),10
Carteia,10
Hydruntum,10
Vada Sabatia,10
Pontia,10
Forentum,10
Pollentia (Italia (V Picenum)),10
Iuliomagus,9
Hortona,9
Iesso,9
Forum Cornelii,9
Butuntum,9
Gerunda,9
Norba Caesarina,9
Aufidena,9
Noviomagus (Gallia Lugdunensis),9
Saena,9
Compsa,9
Zeugma,9
Lugdunum Convenarum,9
Tauromenium,9
Uxama,9
Byzantium,8
Caelia,8
Avitta,8
Dea Augusta Vocontiorum,8
Barcino,8
Aquincum,8
Elephantine,8
Saletio,8
Ugultunia,8
Baelo,8
Philadelphia (Asia),8
Halaesa,8
Gracchuris,8
Centuripae,8
Amphipolis,8
Corinthia,8
Rusicada,8
Mopthensium,8
Isurium,8
Meninx,8
Sparta,8
Aceruntia,8
Aesis,8
Margum,7
Tarsatica,7
Alebaece,7
Tralles,7
Lissus,7
Avaricum,7
Thibilis,7
Libisosa,7
Utica,7
Sicca Veneria,7
Venta Icenorum,7
Cluana,7
Portus Magnus,7
Forum Iulii (Gallia Narbonensis),7
Forum Segusiavorum,7
Glanum,7
Parium,7
Mago,7
Tingis,7
Savaria,7
Sisapo,7
Scythopolis,7
Antiochia (Syria),7
Myrtilis,7
Emmaus,7
Castrum Novum (Italia (V Picenum)),7
Petuaria,7
Uxentum,7
Apollonia (Macedonia),6
Apollonia (Lycia et Pamphylia) (1),6
Malaca,6
Diocletianopolis,6
Virunum,6
Tucci,6
Morgantina,6
Venta Belgarum,6
Cornus,6
Iamo,6
Cosilinum,6
Buxentum,6
Anxa,6
Salpensa,6
Sidon,6
Munigua,6
Condevicnum,6
Mediolanum (Gallia Aquitania),6
Bisica,6
Baeterrae,6
Synnada,6
Dyme,6
Mascula,6
Scodra,6
Scolacium,6
Autricum,5
Abdera (Thracia),5
Treba,5
Unknown (4),5
Vardagate,5
Baccanae,5
Bagacum,5
Augustoritum,5
Soluntum,5
Argos (Achaea) (2),5
Alba Helviorum,5
Cillium,5
Comana,5
Corcyra,5
Alsium,5
Mytilene,5
Eleusis,5
Nabrissa,5
Celaenae,5
Byblos,5
Attalea,5
Nertobriga,5
Forum Hadriani,5
Frusino,5
Neapaphus,5
Rusguniae,5
Hasta Regia,5
Ossonoba,5
Zela,5
Adria,5
Visentium,4
Acmonia,4
Avennio,4
Crexa,4
Heraclea (Asia) (2),4
Aquae Flaviae,4
Calama,4
Lebedus,4
Graviscae,4
Thibiuca,4
Thuburnica,4
Tigava,4
Larisa (Achaea),4
Laodicea (Syria),4
Madauros,4
Lystra,4
Amastris,4
Bantia,4
Tyana,4
Valentia (Gallia Narbonensis),4
Adraha,4
Tunisa,4
Vaga,4
Cibyra,4
Sagalassus,4
Apamea (Bithynia et Pontus),4
Mauves,4
Antipatris,4
Smyrna,4
Elaeussa,4
Edessa,4
Cassandrea,4
Cartenna,4
Seria,4
Siarum,4
Valentia (Italia (IX Liguria)),4
Bida,4
Blaundus,4
Chalcedon,4
Althiburos,4
Argentomagus,4
Ebora,4
Sufes,4
Neretum,4
Cabellio,4
Ilium,4
Apisa Maius,4
Iria,4
Picentia,4
Lyctus,4
Attacum,4
Lychnidus,4
Nesactium,4
Pitinum Mergens,4
Icosium,3
Patara,3
Vetulonia,3
Zama Regia,3
Uluzibbira,3
Limonum,3
Ercavica,3
Leusaba,3
Maronea,3
Comama,3
Chidibbia,3
Consentia,3
Carpentorate,3
Segida,3
Siga,3
Isca,3
Silvium,3
Arausio,3
Arva,3
Numantia,3
Balsa,3
Pyrgi,3
Neapolis (Syria Palestina),3
Antiochia (Cilicia et Cyprus) (2),3
Mesembria,3
Neviodunum,3
Tarvenna,3
Fregenae,3
Prusias,3
Drepanum (Silicia),3
Olbasa,3
Ostra,3
Labicum,3
Thabraca,3
Hierapolis,3
Cremna,3
Magnesia (Asia) (2),3
Fulfinium,3
Curubis,3
Pella (Macedonia),3
Alesia,3
Amathus,3
Aradus,3
Boutae,3
Acci,3
Ascalon,3
Sala,3
Segermes,3
Nasium,3
Tarsus,3
Tegea,3
Bargylia,3
Netum,3
Canatha,3
Cynopolis,2
Damascus,2
Avedda,2
Leptiminus,2
Pella (Syria Palestina),2
Gunugu,2
Paros,2
Cyme,2
Abthungi,2
Acerrae,2
Aeminium,2
Palaepaphus,2
Madaba,2
Magnesia (Asia) (1),2
Thaenae,2
Thasos,2
Callet,2
Gadara,2
Diana Veteranorum,2
Amorium,2
Caesarodunum,2
Olba,2
Osca,2
Orippo,2
Dora,2
Phintias,2
Philippopolis (Arabia),2
Caudium,2
Norba,2
Noviodunum (Gallia Lugdunensis),2
Teurnia,2
Lucurgentum,2
Phocaea,2
Pollentia (Hispania Tarraconensis),2
Numana,2
Pupput,2
Durobrivae (Britannia) (2),2
Lopodunum,2
Lopsica,2
Tavium,2
Tentyris,2
Flaviobriga,2
Flavia Solva,2
Baiae,2
Samosata,2
Igilgili,2
Clupea,2
Archelais,2
Rusazus,2
Fidentia,2
Moridunum,2
Mopsuestia,2
Irni,2
Amisus,2
Rusuccuru,2
Maraci,2
Alabanda,2
Suana,2
Aginnum,2
Agyrium,2
Iulia Traducta,2
Capitolias,2
Carcaso,2
Seleucia (Cilicia et Cyprus),2
Segodunum,2
Mirobriga (Hispania Tarraconensis),2
Sicyon,2
Eryx,2
Unknown (3),2
Urbana,2
Iuliobriga,2
Aprustum,2
Iasus,2
Vesontio,2
Aegae,2
Acruvium,2
Augusta Tricastinorum,1
Augustomagus,1
Ad Sava,1
Aegina,1
Vibinum,1
Uzelis,1
Iatinum,1
Apollonia (Sicilia),1
Apta,1
Tullum,1
Ugia,1
Unknown (2),1
Enna,1
Epidaurus,1
Erythrae,1
Sexi,1
Bistua Nova,1
Bizye,1
Blera,1
Colybrassus,1
Consoranni,1
Side,1
Cenabum,1
Ceramus,1
Choba,1
Cibalae,1
Augusta Suessionum,1
Selinus,1
Elaea,1
Mylasa,1
Antiochia (Asia),1
Eleutheropolis,1
Solona,1
Statonia,1
Aezanis,1
Agedincum,1
Mazaca,1
Mediolanum (Gallia Lugdunensis) (1),1
Memphis,1
Ambracia,1
Saetabis,1
Salamis,1
Samaria,1
Samos,1
Scallabis,1
Cleitor,1
Arsennaria,1
Arycanda,1
Amantia,1
Antiochia (Cilicia et Cyprus) (1),1
Iluro,1
Augusta Cilicia,1
Neapolis (Africa Proconsularis),1
Nemetacum,1
Cadyanda,1
Roda,1
Faventia,1
Claterna,1
Metapontum,1
Aregenua,1
Numluli,1
Nysa,1
Pompeiopolis,1
Pons Saravi,1
Assus,1
Ptolemais (Aegyptus),1
Aphroditopolis,1
Athribis,1
Augusta Ambianorum,1
Bassiana (Pannonia Inferior),1
Taucheira,1
Termes,1
Lixus,1
Lydai,1
Phoenice,1
Piraeus,1
Pistorium,1
Pitulum,1
Plataea,1
Nicopolis (Cappadocia (et Galatia)),1
Thisica,1
Tius,1
Diluntum,1
Dionysias,1
Camarina,1
Pharsalus,1
Gabala,1
Genusia,1
Germa,1
Pheradi Maius,1
Andautonia,1
Antinoopolis,1
Pherae,1
Tlos,1
Torone,1
Augustonemetum,1
Aunobari,1
Iuvavum,1
Lacimurga,1
Laertes,1
Lambiridi,1
Laranda,1
Lebadea,1
Caesaromagus (Gallia Belgica),1
Oenoanda,1
Orchomenus Minyeaus,1
Oricus,1
Ortoplinia,1
Hierapytna,1
Hippo Diarrhytus,1
Hippus,1
Idebessus,1
Paneas,1
Panopolis,1
Pellene,1
Hadrianopolis (Achaea),1
Halicarnassus,1
Heraclea (Macedonia),1
Hermopolis Magna,1
Aquae Calidae,1
Cyrrus,1
Axati,1
Aenus,1
Leontini,1
Vegium,1
Acraephia,1
Acholla,1
Abitinae,1
Xanthus,1
Xois,1
Abbir Maius,1
