Primary Key,Structure
Hanson2016_35,Stoa (Korkyraion)
Hanson2016_35,Stoa of the Hellanodikai
Hanson2016_35,Temple of Aphrodite
Hanson2016_35,Temple of Athena
Hanson2016_35,Temple of Hades
Hanson2016_35,Temple of Silenos
Hanson2016_35,Temple of Tyche and Sosipolis
Hanson2016_35,Theatre
Hanson2016_35,Walls
Hanson2016_35,Walls
Hanson2016_36,Acropolis
Hanson2016_36,Odeum
Hanson2016_36,Sanctuary of Apollo Maleatas
Hanson2016_36,Sanctuary of Asclepius
Hanson2016_36,Temple of Aphrodite?
Hanson2016_36,Temple of Artemis
Hanson2016_36,Temple of Asclepius
Hanson2016_36,Temple of Athena Cissaea
Hanson2016_36,Temple of Dionysus
Hanson2016_36,Temple of Hera
Hanson2016_36,Theatre
Hanson2016_36,Theatre
Hanson2016_36,Walls
Hanson2016_37,Acropolis
Hanson2016_37,Agora
Hanson2016_37,Baths
Hanson2016_37,Gymnasium
Hanson2016_37,Gymnasium
Hanson2016_37,Harbour
Hanson2016_37,Nymphaeum
Hanson2016_37,Palaestra
Hanson2016_37,Shrine of Apollo Daphnephoros
Hanson2016_37,Shrine of Dionysus
Hanson2016_37,Shrine of Isis
Hanson2016_37,Temple (Tholos)
Hanson2016_37,Theatre
Hanson2016_37,Walls
Hanson2016_37,Walls
Hanson2016_38,Theatre
Hanson2016_39,Acropolis
Hanson2016_39,Agora
Hanson2016_39,Temple
Hanson2016_39,Temple of Asclepius?
Hanson2016_39,Temple of Athena Polias?
Hanson2016_39,Unidentified public building
Hanson2016_39,Unidentified public building
Hanson2016_39,Walls
Hanson2016_39,Walls
Hanson2016_40,Aqueduct
Hanson2016_40,Theatre
Hanson2016_40,Walls
Hanson2016_41,Forum
Hanson2016_41,Theatre
Hanson2016_41,Urban grid
Hanson2016_42,Acropolis
Hanson2016_42,Temple
Hanson2016_42,Temple of Artemis Tauropolos
Hanson2016_42,Temple of Dionysus
Hanson2016_42,Theatre
Hanson2016_43,Acropolis
Hanson2016_43,Agora
Hanson2016_43,Prytaneum
Hanson2016_43,Temple
Hanson2016_43,Urban grid
Hanson2016_43,Walls
Hanson2016_44,Theatre
Hanson2016_44,Walls
Hanson2016_45,Acropolis
Hanson2016_45,Aqueduct
Hanson2016_45,Gymnasium
Hanson2016_45,Temple of Artemis
Hanson2016_45,Walls
Hanson2016_46,Acropolis
Hanson2016_46,Bouleuterion
Hanson2016_46,Stoa
Hanson2016_46,Temple of Artemis Elaphebolos
Hanson2016_46,Theatre
Hanson2016_46,Walls
Hanson2016_47,Acropolis
Hanson2016_47,Prytaneum
Hanson2016_47,Theatre
Hanson2016_47,Walls
Hanson2016_48,Acropolis
Hanson2016_48,Agora
Hanson2016_48,Bouleuterion
Hanson2016_48,Odeum
Hanson2016_48,Temple of Apollo Kerdoios?
Hanson2016_48,Temple?
Hanson2016_48,Theatre (Large)
Hanson2016_48,Theatre (Small)
Hanson2016_48,Walls
Hanson2016_48,Walls
Hanson2016_49,Acropolis
Hanson2016_49,Agora?
Hanson2016_49,Stoa
Hanson2016_49,Temple
Hanson2016_49,Temple of Zeus Basileus
Hanson2016_49,Walls
Hanson2016_50,Acropolis
Hanson2016_50,Agora?
Hanson2016_50,Bridge
Hanson2016_50,Temple
Hanson2016_50,Theatre
Hanson2016_50,Urban grid
Hanson2016_50,Walls
Hanson2016_51,Acropolis
Hanson2016_51,Baths
Hanson2016_51,Temple
Hanson2016_51,Temple
Hanson2016_51,Theatre
Hanson2016_51,Walls
Hanson2016_52,Acropolis
Hanson2016_52,Bouleuterion
Hanson2016_52,Fountain
Hanson2016_52,Sanctuary of Artemis Hemera
Hanson2016_53,Acropolis
Hanson2016_53,Baths
Hanson2016_53,Fountain
Hanson2016_53,Sanctuary of Despoina
Hanson2016_53,Stoa
Hanson2016_53,Temple of Artemis Hegemone
Hanson2016_53,Theatre
Hanson2016_53,Walls
Hanson2016_54,Theatre
Hanson2016_54,Walls
Hanson2016_55,Agora
Hanson2016_55,Bouleuterion
Hanson2016_55,Stoa
Hanson2016_55,Stoa
Hanson2016_55,Temple of Antinous
Hanson2016_55,Temple of Hadrian?
Hanson2016_55,Temple of Poseidon
Hanson2016_55,Temple to commemorate defeat of Antony by Octavian
Hanson2016_55,Theatre
Hanson2016_55,Urban grid
Hanson2016_55,Walls
Hanson2016_56,Agora
Hanson2016_56,Bouleuterion
Hanson2016_56,Bridge
Hanson2016_56,Gymnasium?
Hanson2016_56,Sanctuary of Aphrodite
Hanson2016_56,Stadium
Hanson2016_56,Stoa of Aristander
Hanson2016_56,Stoa of Myropolis
Hanson2016_56,Stoa of Philip
Hanson2016_56,Stoa of the Archives
Hanson2016_56,"Temple of Apollo, Hermes, and the Muses"
Hanson2016_56,Temple of Athena Polias
Hanson2016_56,Temple of Dionysus
Hanson2016_56,Temple of Hera Teleia
Hanson2016_56,Temple of Hermes Acacesius
Hanson2016_56,Temple of the Mother of the Gods
Hanson2016_56,Temple of Zeus Soter
Hanson2016_56,Theatre
Hanson2016_56,Urban grid
Hanson2016_56,Walls
Hanson2016_56,Walls
Hanson2016_57,Acropolis (Alcathous)
Hanson2016_57,Acropolis (Caria)
Hanson2016_57,Agora
Hanson2016_57,Aqueduct
Hanson2016_57,Bouleuterion
Hanson2016_57,Fountain
Hanson2016_57,Gymnasium
Hanson2016_57,Stoa
Hanson2016_57,Temple of Aphrodite
Hanson2016_57,Temple of Aphrodite Apostrophia
Hanson2016_57,Temple of Apollo
Hanson2016_57,Temple of Apollo
Hanson2016_57,Temple of Apollo Agraeus
Hanson2016_57,Temple of Apollo Prostaterius
Hanson2016_57,Temple of Artemis
Hanson2016_57,Temple of Artemis Agrotera
Hanson2016_57,Temple of Artemis Soteira
Hanson2016_57,Temple of Athena Aeantis
Hanson2016_57,Temple of Athena Nike
Hanson2016_57,Temple of Demeter
Hanson2016_57,Temple of Demeter Malophorus
Hanson2016_57,Temple of Demeter Thesmophorus
Hanson2016_57,Temple of Dionysus
Hanson2016_57,Temple of Dionysus Nyctelius
Hanson2016_57,Temple of Fortune
Hanson2016_57,Temple of Isis
Hanson2016_57,Temple of the Eileithyiae
Hanson2016_57,Temple of the Muses
Hanson2016_57,Temple of Zeus Chronios
Hanson2016_57,Temple of Zeus Olympius
Hanson2016_57,Theatre
Hanson2016_57,Walls
Hanson2016_58,Gymnasium?
Hanson2016_58,Odeum
Hanson2016_58,Sanctuary of Asclepius
Hanson2016_58,Sanctuary of Poseidon
Hanson2016_58,Stadium?
Hanson2016_58,Theatre
Hanson2016_58,Walls
Hanson2016_59,Acropolis
Hanson2016_59,Agora
Hanson2016_59,Baths
Hanson2016_59,Bouleuterion
Hanson2016_59,Fountain
Hanson2016_59,Gymnasium
Hanson2016_59,Market
Hanson2016_59,Odeum
Hanson2016_59,Sanctuary of Zeus Ithomatas
Hanson2016_59,Sebasteion
Hanson2016_59,Stadium
Hanson2016_59,Stoa
Hanson2016_59,Stoa
Hanson2016_59,Stoa
Hanson2016_59,Stoa
Hanson2016_59,Temple of Artemis Limnatas
Hanson2016_59,Temple of Artemis Orthia
Hanson2016_59,Temple of Asclepius
Hanson2016_59,Theatre
Hanson2016_59,Urban grid
Hanson2016_59,Walls
Hanson2016_60,Agora?
Hanson2016_60,Bridge
Hanson2016_60,Temple of Artemis
Hanson2016_60,Temple of Athena Anemotis
Hanson2016_60,Walls
Hanson2016_61,Acropolis
Hanson2016_61,Temple
Hanson2016_61,Theatre?
Hanson2016_61,Walls
Hanson2016_62,Acropolis
Hanson2016_62,Agora
Hanson2016_62,Temple of Dionysus
Hanson2016_62,Theatre
Hanson2016_62,Urban grid?
Hanson2016_62,Walls
Hanson2016_63,Acropolis
Hanson2016_63,Agora
Hanson2016_63,Gymnasium
Hanson2016_63,Stoa
Hanson2016_63,Temple of Athena
Hanson2016_63,Theatre
Hanson2016_63,Walls
Hanson2016_64,Acropolis
Hanson2016_64,Market
Hanson2016_64,Temple of Asclepius
Hanson2016_64,Temple of Athena
Hanson2016_64,Temple of Isis
Hanson2016_64,Theatre
Hanson2016_64,Walls
Hanson2016_65,Amphitheatre
Hanson2016_65,Aqueduct
Hanson2016_65,Baths
Hanson2016_65,Forum
Hanson2016_65,Gymnasium
Hanson2016_65,Nymphaeum
Hanson2016_65,Odeum
Hanson2016_65,Sanctuary of Apollo
Hanson2016_65,Stadium
Hanson2016_65,Theatre
Hanson2016_65,Urban grid
Hanson2016_65,Walls
Hanson2016_65,Walls
Hanson2016_66,Baths
Hanson2016_66,Temple
Hanson2016_66,Theatre
Hanson2016_66,Walls
Hanson2016_67,Theatre
Hanson2016_67,Walls
Hanson2016_68,Acropolis
Hanson2016_68,Agora
Hanson2016_68,Baths?
Hanson2016_68,Bouleuterion
Hanson2016_68,Stoa
Hanson2016_68,Stoa
Hanson2016_68,Temple of Aphrodite
Hanson2016_68,Temple of Artemis Mesopolitis
Hanson2016_68,Temple of Poseidon
Hanson2016_68,Theatre
Hanson2016_68,Walls
Hanson2016_69,Acropolis
Hanson2016_69,Stoa
Hanson2016_69,Stoa
Hanson2016_69,Temple
Hanson2016_69,Temple of Asclepius
Hanson2016_69,Temple of Dionysus
Hanson2016_69,Temple of the Charites
Hanson2016_69,Theatre
Hanson2016_69,Walls
Hanson2016_70,Acropolis
Hanson2016_70,Temple of Aphrodite?
Hanson2016_70,Temple of Dioscuri?
Hanson2016_70,Temple of Eros?
Hanson2016_70,Theatre
Hanson2016_70,Walls
Hanson2016_71,Acropolis
Hanson2016_71,Stadium
Hanson2016_71,Stoa
Hanson2016_71,Temple
Hanson2016_71,Temple of Amphiaraos
Hanson2016_71,Theatre
Hanson2016_72,Theatre?
Hanson2016_73,Acropolis
Hanson2016_73,Agora?
Hanson2016_73,Temple
Hanson2016_73,Temple of Athena Soteira and Poseidon
Hanson2016_73,Temple of Demeter and Kore
Hanson2016_73,Temple of the Pure Gods
Hanson2016_74,Acropolis
Hanson2016_74,Bouleuterion
Hanson2016_74,Prytaneum
Hanson2016_74,Temple of Apollo Delios
Hanson2016_74,Temple of Apollo Pythias
Hanson2016_74,Temple of Asclepius
Hanson2016_74,Temple of Athena
Hanson2016_74,Temple of Demeter Thesmophoros
Hanson2016_74,Theatre
Hanson2016_74,Walls
Hanson2016_75,Acropolis
Hanson2016_75,Temple of Zeus Areios
Hanson2016_75,Theatre
Hanson2016_75,Walls
Hanson2016_76,Acropolis
Hanson2016_76,Agora
Hanson2016_76,Amphitheatre
Hanson2016_76,Aqueduct
Hanson2016_76,Baths
Hanson2016_76,Bridge
Hanson2016_76,Odeum
Hanson2016_76,Sanctuary
Hanson2016_76,Temple of Artemis Laphria
Hanson2016_76,Temple of Demeter
Hanson2016_76,Temple of Zeus
Hanson2016_76,Theatre
Hanson2016_76,Urban grid
Hanson2016_76,Walls
Hanson2016_77,Acropolis
Hanson2016_77,Stoa
Hanson2016_77,Stoa
Hanson2016_77,Temple
Hanson2016_77,Temple
Hanson2016_77,Temple?
Hanson2016_77,Theatre?
Hanson2016_77,Walls
Hanson2016_78,Acropolis
Hanson2016_78,Gymnasium?
Hanson2016_78,Sanctuary of Apollo Theoxenios
Hanson2016_78,Sanctuary of Artemis
Hanson2016_78,Sanctuary of Dionysus
Hanson2016_78,Sanctuary of Eileithyia
Hanson2016_78,Sanctuary of Poseidon
