province,province_language,urban_context_pop_est,log_urban_context_pop_est,inscription_count,letter_count,mean_date_range,median_date_range,date_range_std,date_range_se,cv_date_range,avg_variance_date_range,delta_t
Liguria / Regio IX,Latin,4837.0,8.484049972822984,66,2277,79.10606060606061,59.0,49.03785940486855,6.036143228580164,61.99001571961931,3300.0833333333335,57.446351784367764
Liguria / Regio IX,Latin,1000.0,6.907755278982137,55,2070,98.01818181818182,99.0,59.72575935026972,8.053419747892908,60.933347510013625,7450.083333333333,86.31386524384905
Liguria / Regio IX,Latin,2922.0,7.980023592310645,72,3422,101.76388888888889,99.0,54.511012727770876,6.424184458192165,53.56616509348305,4408.333333333333,66.39528095680696
Dalmatia,Latin,1000.0,6.907755278982137,45,1425,156.0888888888889,149.0,93.51125897749189,13.93983544901729,59.908978559042346,7301.333333333333,85.44783984006462
Gallia Narbonensis,Latin,1559.0,7.351799869057777,7,254,99.42857142857143,99.0,76.72864989223852,29.00070372122943,77.16961914449276,3300.0833333333335,57.446351784367764
Corsica,Latin,1000.0,6.907755278982137,93,3136,157.18279569892474,99.0,122.72813240412101,12.72631448875533,78.07987627297341,20750.083333333332,144.04889216281163
Lugudunensis,Latin,18882.0,9.845964366292462,3,79,119.0,99.0,72.11102550927978,41.63331998932266,60.5975004279662,1633.3333333333333,40.414518843273804
Latium et Campania / Regio I,,2760.0,7.9229859587111955,58,2237,91.17241379310344,99.0,49.54534974940316,6.505623140381477,54.34247892332419,3300.0833333333335,57.446351784367764
Aegyptus,Greek,410502.0,12.925136079969938,37,5689,18.675675675675677,9.0,36.71289060175371,6.03556203598068,196.58132449564215,3300.0833333333335,57.446351784367764
Asia,Greek,80443.0,11.295304138069321,17,1979,65.23529411764706,49.0,65.00531652465503,15.766105073991872,99.6474644652061,3300.0833333333335,57.446351784367764
Latium et Campania / Regio I,,2601.0,7.8636512654486515,140,6483,81.82857142857142,74.5,64.64835071170079,5.4637828665175245,79.00461853734384,7400.333333333333,86.02519010925424
Etruria / Regio VII,Latin,1000.0,6.907755278982137,5,508,90.4,94.0,86.42511209133605,38.65048511985328,95.60300010103543,3300.0833333333335,57.446351784367764
Africa proconsularis,Latin,1000.0,6.907755278982137,4,369,26.0,2.5,48.72371086031933,24.361855430159665,187.39888792430511,816.75,28.578838324886476
Venetia et Histria / Regio X,Latin,28787.0,10.267679175328517,266,7269,68.30827067669173,49.0,43.367874459228034,2.6590549900797997,63.48846783794527,7450.083333333333,86.31386524384905
Macedonia,Greek,2290.0,7.736307096548285,1,36,130.0,130.0,,,,0.0,0.0
Cappadocia,Greek,3590.0,8.185907481482324,11,1113,40.81818181818182,4.0,54.92871413353526,16.561630454329823,134.5692328438503,1587.0,39.83716857408418
Pontus et Bithynia,Greek,1000.0,6.907755278982137,4,537,50.75,52.0,55.751681588988866,27.875840794494433,109.85553022460861,816.75,28.578838324886476
Cyprus,Greek,1989.0,7.5953872788539725,3,263,83.0,0.0,143.76021702821683,83.00000000000001,173.20508075688775,5166.75,71.88010851410841
Achaia,Greek,27923.0,10.23720600096072,1,5,200.0,200.0,,,,0.0,0.0
Umbria / Regio VI,Latin,3086.0,8.034631032923107,221,10957,94.02262443438914,99.0,64.25768036436041,4.32243933864163,68.34278531461403,3267.0,57.15767664977295
Pontus et Bithynia,Greek,1000.0,6.907755278982137,2,182,150.0,150.0,210.71782079359116,149.0,140.47854719572743,7400.333333333333,86.02519010925424
Samnium / Regio IV,Latin,11060.0,9.311090275076326,270,10681,79.21111111111111,69.0,46.24458037839921,2.8143555372900044,58.38143125341464,3333.3333333333335,57.735026918962575
Africa proconsularis,Latin,11979.0,9.39091039573133,451,31012,125.0,99.0,58.34430373033667,2.74732596368301,46.67544298426933,7450.083333333333,86.31386524384905
Asia,Greek,9938.0,9.204121072162266,2,67,89.5,89.5,13.435028842544403,9.5,15.011205410664138,30.083333333333332,5.484827557301444
Dacia,Latin,1000.0,6.907755278982137,116,5451,89.73275862068965,99.0,47.27686404641248,4.389546628524535,52.6862929136694,3300.0833333333335,57.446351784367764
Macedonia,Greek,65470.0,11.089347301435136,8,638,98.875,74.0,103.32533571201209,36.53102277517014,104.5009716429958,7400.333333333333,86.02519010925424
Latium et Campania / Regio I,,2290.0,7.736307096548285,75,5620,85.12,99.0,44.600921090961364,5.150070759594359,52.39769865009558,3333.3333333333335,57.735026918962575
Cilicia,Greek,33806.0,10.428393580510123,19,2376,51.578947368421055,21.0,73.57861690394212,16.8800923941988,142.65242052805104,3300.0833333333335,57.446351784367764
Picenum / Regio V,Latin,5782.0,8.662504922576291,42,2271,74.73809523809524,69.5,49.17468093504908,7.587818001595087,65.79600507397456,3300.0833333333335,57.446351784367764
Galatia,Greek,23704.0,10.073399089253401,58,7542,35.05172413793103,3.5,55.66391076709826,7.309029561849575,158.80505777135755,3300.0833333333335,57.446351784367764
Pannonia superior,Latin,5782.0,8.662504922576291,1,63,49.0,49.0,,,,0.0,0.0
Belgica | Germania superior,Latin,5782.0,8.662504922576291,299,9330,178.6722408026756,199.0,92.46969174421788,5.347660348999657,51.753809841306456,13266.75,115.18137870333034
Aquitani(c)a,Latin,4837.0,8.484049972822984,102,510,191.9607843137255,219.0,113.14364142725107,11.20288985626265,58.941018516749786,7400.333333333333,86.02519010925424
Samnium / Regio IV,Latin,1559.0,7.351799869057777,36,958,66.58333333333333,54.0,27.378171701453798,4.563028616908967,41.118655872020724,300.0,17.320508075688775
Dalmatia,Latin,1000.0,6.907755278982137,21,494,194.95238095238096,149.0,156.361912302989,34.12096661602352,80.20518217788883,29502.083333333332,171.76170508391365
Aegyptus,Greek,30242.0,10.316986965672614,1,29,1.0,1.0,,,,0.0,0.0
Samnium / Regio IV,Latin,1000.0,6.907755278982137,17,1556,70.6470588235294,69.0,36.49133660279963,8.850449131371223,51.653016007293395,1776.3333333333333,42.14656965084268
Asia,Greek,1288.0,7.160845906664299,1,47,99.0,99.0,,,,0.0,0.0
Galatia,Greek,5589.0,8.628555659269699,63,6110,29.73015873015873,10.0,53.26204432899126,6.7103868387337595,179.15156394695404,6627.0,81.40638795573723
Cilicia,Greek,1000.0,6.907755278982137,1,97,0.0,0.0,,,,0.0,0.0
Cilicia,Greek,2922.0,7.980023592310645,3,604,17.0,2.0,27.730849247724095,16.010413278030438,163.12264263367115,200.08333333333334,14.145081595145832
Syria,Greek,124930.0,11.735508859425876,7,536,65.14285714285714,59.0,72.92788349099534,27.564149051352377,111.95069834144023,3300.0833333333335,57.446351784367764
Palaestina,Greek,1000.0,6.907755278982137,4,238,0.5,0.5,0.5773502691896257,0.28867513459481287,115.47005383792515,0.08333333333333333,0.28867513459481287
Gallia Narbonensis,Latin,1000.0,6.907755278982137,10,645,47.2,3.0,81.37812974012121,25.734024170346927,172.41129182229068,3300.0833333333335,57.446351784367764
Latium et Campania / Regio I,,9938.0,9.204121072162266,161,11346,95.28571428571429,99.0,65.20452712153396,5.138836635838058,68.43053820850639,13266.75,115.18137870333034
Apulia et Calabria / Regio II,Latin,1000.0,6.907755278982137,6,235,75.83333333333333,84.5,27.279418371121235,11.136775914858744,35.97285939048954,300.0,17.320508075688775
Samnium / Regio IV,Latin,1000.0,6.907755278982137,16,1364,119.0625,70.0,106.38074308821122,26.595185772052805,89.3486556121459,7450.083333333333,86.31386524384905
Pontus et Bithynia,Greek,1000.0,6.907755278982137,4,393,15.75,15.0,17.68945071692919,8.844725358464595,112.31397280589962,90.75,9.526279441628825
Arabia,Greek,64405.0,11.072946548830188,25,2040,14.16,13.0,18.950989420080422,3.7901978840160844,133.8346710457657,816.75,28.578838324886476
Syria,Greek,11517.0,9.351579483668907,17,507,142.05882352941177,129.0,43.20224326964298,10.478083074374569,30.41151700140499,1386.75,37.239092362730865
Asia,Greek,15580.0,9.65374331942474,12,18022,57.083333333333336,42.0,59.84443216044464,17.275599508666506,104.83696144895411,3300.0833333333335,57.446351784367764
Aegyptus,Greek,26497.0,10.184786798018687,1,90,0.0,0.0,,,,0.0,0.0
Africa proconsularis,Latin,1000.0,6.907755278982137,4,250,35.75,22.0,43.7978309965231,21.89891549826155,122.51141537488981,816.75,28.578838324886476
Galatia,Greek,1000.0,6.907755278982137,6,416,48.333333333333336,1.0,74.10982840802336,30.25521075414577,153.3306794648759,1752.0833333333333,41.85789451624787
Macedonia,Greek,1000.0,6.907755278982137,6,232,124.66666666666667,124.5,81.55161964465614,33.29330930449006,65.41573768287925,5125.333333333333,71.59143337951359
Sicilia,Latin,1000.0,6.907755278982137,1,10,99.0,99.0,,,,0.0,0.0
Bruttium et Lucania / Regio III,Latin,1000.0,6.907755278982137,2,92,99.0,99.0,0.0,0.0,0.0,0.0,0.0
Gallia Narbonensis,Latin,1000.0,6.907755278982137,1,93,0.0,0.0,,,,0.0,0.0
Dacia,Latin,16831.0,9.730977703126166,855,34311,95.34853801169591,99.0,51.77581985700247,1.7706956778248397,54.30164000065885,3300.0833333333335,57.446351784367764
Moesia superior,Latin,1000.0,6.907755278982137,23,1751,79.47826086956522,99.0,66.60730888452066,13.888583983974417,83.80569498599428,7450.083333333333,86.31386524384905
Mauretania Caesariensis,Latin,1000.0,6.907755278982137,1,43,101.0,101.0,,,,0.0,0.0
Hispania citerior,Latin,1000.0,6.907755278982137,4,247,82.0,14.5,145.3111603880904,72.6555801940452,177.20873218059805,7450.083333333333,86.31386524384905
Germania superior,Latin,1000.0,6.907755278982137,56,4467,84.89285714285714,52.5,85.85498949262775,11.47285555808892,101.13334900267468,7450.083333333333,86.31386524384905
Gallia Narbonensis,Latin,10160.0,9.226213721132472,20,753,43.15,27.0,45.1422022175772,10.094103281254437,104.61692286808157,1850.0833333333333,43.01259505462712
Liguria / Regio IX,Latin,3762.0,8.232706009860976,48,1633,102.54166666666667,99.0,59.604354522251015,8.603147532073878,58.12696093189859,4641.333333333333,68.12733176437584
Britannia,Latin,1157.0,7.053585727193677,138,7770,172.05072463768116,199.0,63.96387238335393,5.44496640989492,37.177333904320605,9020.083333333334,94.97411928169345
Aquitani(c)a,Latin,1700.0,7.438383530044307,24,574,234.79166666666666,199.0,147.68591206742911,30.14626056356217,62.900832113900606,12352.083333333334,111.13992681900297
Venetia et Histria / Regio X,Latin,14596.0,9.588502797556337,2034,82714,92.14601769911505,99.0,49.25001533201108,1.0920207627220242,53.44779575046581,10208.333333333334,101.03629710818451
Pannonia inferior,Latin,3937.0,8.278174290943738,8,694,69.5,49.0,68.71057311027799,24.292856092745808,98.86413397162302,3300.0833333333335,57.446351784367764
Latium et Campania / Regio I,,12445.0,9.429074214801693,135,6706,97.84444444444445,99.0,59.583613226911055,5.128140927437567,60.896266073381724,7450.083333333333,86.31386524384905
Syria,Greek,4471.0,8.405367376233981,3,374,43.666666666666664,53.0,21.571586249817916,12.454361128179604,49.4005791980563,133.33333333333334,11.547005383792516
Germania superior,Latin,3937.0,8.278174290943738,59,1026,115.59322033898304,149.0,68.21545952906101,8.880896388144917,59.01337407939295,2976.75,54.559600438419636
Gallia Narbonensis,Latin,11060.0,9.311090275076326,3,314,49.666666666666664,49.0,49.0034012424988,28.29212689856393,98.66456626006472,800.3333333333334,28.290163190291665
Dalmatia,Latin,1000.0,6.907755278982137,22,1158,137.72727272727272,124.0,149.19184894694413,31.80780906990651,108.32411474695614,29900.083333333332,172.9164056222929
Cappadocia,Greek,1000.0,6.907755278982137,2,321,15.5,15.5,21.920310216782973,15.499999999999998,141.42135623730948,80.08333333333333,8.948929172439199
Latium et Campania / Regio I,,6767.0,8.819813136232225,13,914,95.76923076923077,99.0,79.47028149582485,22.041090369904122,82.98101682294964,3300.0833333333335,57.446351784367764
Lugudunensis,Latin,1000.0,6.907755278982137,1,1986,0.0,0.0,,,,0.0,0.0
Gallia Narbonensis,Latin,10384.0,9.248021438943871,59,2255,63.610169491525426,69.0,45.600596241244304,5.936691964723846,71.68758801581173,3300.0833333333335,57.446351784367764
Aquitani(c)a,Latin,1000.0,6.907755278982137,4,68,74.25,84.0,32.71467560591118,16.35733780295559,44.06016916621034,396.75,19.91858428704209
Belgica | Germania superior,Latin,8848.0,9.087946723762116,176,3986,114.625,79.0,100.33228365215825,7.562830437129952,87.53089086338778,11285.333333333334,106.23244953089115
Achaia,Greek,49319.0,10.806064681322521,5,271,99.0,99.0,0.0,0.0,0.0,0.0,0.0
Dalmatia,Latin,1000.0,6.907755278982137,14,431,122.5,149.0,79.59198838692633,21.271853662569193,64.97305174442965,7400.333333333333,86.02519010925424
Latium et Campania / Regio I,Latin,2601.0,7.8636512654486515,395,21385,69.45822784810126,49.0,56.53084286317558,2.8443753935255796,81.38825969876933,7450.083333333333,86.31386524384905
Aemilia / Regio VIII,Latin,5782.0,8.662504922576291,181,11774,83.11602209944752,99.0,56.05833090708639,4.166782921162392,67.44587805226426,4446.75,66.68395609140178
Umbria / Regio VI,Latin,1000.0,6.907755278982137,16,472,75.8125,89.5,53.74534863595174,13.436337158987936,70.89246316366264,3996.75,63.21985447626402
Latium et Campania / Regio I,,1000.0,6.907755278982137,22,944,96.5,99.0,42.03938063066015,8.962826065602917,43.56412500586544,1900.0833333333333,43.58994532381674
Etruria / Regio VII,Latin,8848.0,9.087946723762116,99,5043,70.11111111111111,59.0,58.200022597809074,5.8493223559738805,83.01112573380057,5125.333333333333,71.59143337951359
Mauretania Caesariensis,Latin,1000.0,6.907755278982137,1,96,4.0,4.0,,,,0.0,0.0
Dalmatia,Latin,1000.0,6.907755278982137,24,889,159.75,129.0,179.59404705927878,36.659481344718564,112.42193869125433,29900.083333333332,172.9164056222929
Baetica,Latin,1000.0,6.907755278982137,3,170,46.0,39.0,49.86983055916673,28.792360097775937,108.41267512862332,816.75,28.578838324886476
Lycia et Pamphylia,Greek,1000.0,6.907755278982137,1,144,1.0,1.0,,,,0.0,0.0
Palaestina,Greek,8209.0,9.012986392348266,3,192,132.33333333333334,99.0,57.735026918962575,33.333333333333336,43.628483817855845,833.3333333333334,28.867513459481287
Picenum / Regio V,Latin,5589.0,8.628555659269699,113,4199,86.070796460177,75.0,50.697759321816626,4.769244017432195,58.90239361880813,3300.0833333333335,57.446351784367764
Baetica,Latin,1000.0,6.907755278982137,15,279,77.73333333333333,99.0,24.664800444203497,6.368424090528629,31.73001772410398,208.33333333333334,14.433756729740644
Umbria / Regio VI,Latin,4113.0,8.321907968230423,332,10018,86.11746987951807,99.0,52.979686544263316,2.907638044008409,61.52025439017671,3333.3333333333335,57.735026918962575
Dalmatia,Latin,1000.0,6.907755278982137,136,4769,130.97058823529412,149.0,85.33176571272516,7.317138543722206,65.1533805127477,29900.083333333332,172.9164056222929
Asia,Greek,7376.0,8.90598676523643,1,27,41.0,41.0,,,,0.0,0.0
Baetica,Latin,13870.0,9.537483513308878,172,7274,74.6046511627907,59.0,40.27980472021499,3.0713063165546437,53.99101006761984,3300.0833333333335,57.446351784367764
Hispania citerior,Latin,3252.0,8.087025470667701,39,2620,75.38461538461539,83.0,44.55311164312791,7.134207513686005,59.10106646537376,3300.0833333333335,57.446351784367764
Latium et Campania / Regio I,,7790.0,8.960596138864794,29,2327,76.13793103448276,70.0,47.919369881627375,8.89840359540003,62.937578195977984,3300.0833333333335,57.446351784367764
Venetia et Histria / Regio X,Latin,7790.0,8.960596138864794,123,5611,86.70731707317073,59.0,55.96086626008365,5.0458213836402654,64.53995827463937,3168.75,56.29165124598851
Achaia,Greek,58112.0,10.970127461960965,81,5703,65.9753086419753,39.0,78.48231891780499,8.720257657533887,118.95710764113407,9464.083333333334,97.28352035845194
Aegyptus,Greek,46362.0,10.744235437161638,1,19,39.0,39.0,,,,0.0,0.0
Bruttium et Lucania / Regio III,Latin,4837.0,8.484049972822984,56,3356,69.07142857142857,64.0,50.781835386236345,6.786008195958913,73.52075443715707,3300.0833333333335,57.446351784367764
Picenum / Regio V,Latin,2922.0,7.980023592310645,26,1468,112.34615384615384,149.0,55.395265001761516,10.863905277100978,49.30766484237588,1850.0833333333333,43.01259505462712
Hispania citerior,Latin,1000.0,6.907755278982137,4,127,87.0,99.0,46.216880033165374,23.108440016582687,53.12285061283376,972.0,31.176914536239792
Lycia et Pamphylia,Greek,1000.0,6.907755278982137,5,735,81.8,99.0,80.3691483095348,35.94217578277642,98.2507925544435,3201.3333333333335,56.58032638058333
Belgica | Germania inferior,,26781.0,10.195447959847472,15,696,102.6,99.0,42.36035882756424,10.937397618568443,41.286899442070414,2408.3333333333335,49.07477288111819
Samnium / Regio IV,Latin,1000.0,6.907755278982137,9,352,101.22222222222223,99.0,40.551750201988135,13.517250067329378,40.062102285169395,1633.3333333333333,40.414518843273804
Belgica,Latin,38397.0,10.555734610523901,1,84,13.0,13.0,,,,0.0,0.0
Aquitani(c)a,Latin,1000.0,6.907755278982137,86,2241,192.11627906976744,149.0,134.7188286420932,14.52710489519572,70.12358832598969,12033.333333333334,109.6965511460289
Liguria / Regio IX,Latin,1700.0,7.438383530044307,103,3448,71.90291262135922,49.0,32.31781957406319,3.184369383275555,44.94646794664474,3300.0833333333335,57.446351784367764
Achaia,Greek,1000.0,6.907755278982137,1,360,0.0,0.0,,,,0.0,0.0
Baetica,Latin,14841.0,9.605148899895818,557,20795,78.05026929982047,60.0,54.533611054464174,2.3106632584923443,69.86985636779809,13266.75,115.18137870333034
Transpadana / Regio XI,Latin,5976.0,8.695506726812653,77,2265,122.83116883116882,99.0,56.829477756151434,6.476320044991189,46.266333127761264,3234.0833333333335,56.86900151517814
Germania superior,Latin,6368.0,8.75904072752422,148,2911,122.3108108108108,99.0,96.0211039268874,7.892886122761379,78.50581914252203,13266.75,115.18137870333034
Belgica,Latin,18364.0,9.818147505369113,1,138,7.0,7.0,,,,0.0,0.0
Transpadana / Regio XI,Latin,8633.0,9.063347348235522,153,9311,83.77124183006536,99.0,47.50339277800478,3.840421686253272,56.70608640894695,3300.0833333333335,57.446351784367764
Gallia Narbonensis,Latin,5589.0,8.628555659269699,1,16,99.0,99.0,,,,0.0,0.0
Raetia,Latin,10608.0,9.269363712425644,207,7949,129.53140096618358,99.0,103.66955404735414,7.205532105914097,80.03430309104654,29900.083333333332,172.9164056222929
Lugudunensis,Latin,40589.0,10.611252372919454,190,2655,120.47368421052632,99.0,66.40398121953616,4.817451128752474,55.11907571739568,3267.0,57.15767664977295
Lugudunensis,Latin,1559.0,7.351799869057777,12,619,1.5,1.5,1.5666989036012806,0.4522670168666455,104.4465935734187,0.75,0.8660254037844386
Belgica,Latin,7376.0,8.90598676523643,1,92,1.0,1.0,,,,0.0,0.0
Aquitani(c)a,Latin,17338.0,9.760655903428585,1,14,144.0,144.0,,,,0.0,0.0
Aquitani(c)a,Latin,21796.0,9.989481745702989,5,247,79.0,99.0,56.124860801609124,25.099800796022265,71.04412759697357,1008.3333333333334,31.75426480542942
Africa proconsularis,Latin,1000.0,6.907755278982137,1,46,3.0,3.0,,,,0.0,0.0
Baetica,Latin,1000.0,6.907755278982137,31,1509,88.74193548387096,99.0,25.166072057349332,4.519959972687808,28.35871442303996,1008.3333333333334,31.75426480542942
Apulia et Calabria / Regio II,Latin,1559.0,7.351799869057777,13,594,64.76923076923077,49.0,44.155320264859455,12.246482407652689,68.17329732104191,1825.3333333333333,42.72391992003231
Lugudunensis,Latin,34410.0,10.446102498791525,5,986,127.4,99.0,59.433155729777624,26.57931526582278,46.65082867329484,1430.0833333333333,37.81644263192049
Picenum / Regio V,Latin,1288.0,7.160845906664299,55,5433,57.872727272727275,49.0,48.109079202199474,6.487026916271221,83.12910323974148,5166.75,71.88010851410841
Mauretania Caesariensis,Latin,2290.0,7.736307096548285,59,9298,5.067796610169491,0.0,14.354939564099661,1.8688539490456775,283.2580047765485,816.75,28.578838324886476
Aquitani(c)a,Latin,19404.0,9.873234509365107,7,275,96.14285714285714,59.0,110.09152036893148,41.61068347902779,114.50826784287078,7252.083333333333,85.15916470546979
Africa proconsularis,Latin,1000.0,6.907755278982137,2,436,51.5,51.5,72.8319984622144,51.5,141.4213562373095,884.0833333333334,29.73353886326573
Samnium / Regio IV,Latin,1700.0,7.438383530044307,46,2349,68.67391304347827,59.5,37.17469530493146,5.481109795221365,54.13219322655419,1850.0833333333333,43.01259505462712
Gallia Narbonensis,Latin,6767.0,8.819813136232225,4,133,70.75,77.0,53.2126238155321,26.60631190776605,75.21218913856127,1386.75,37.239092362730865
Germania superior,Latin,5022.0,8.52158353971753,609,8363,138.21346469622333,129.0,93.4948655498966,3.7886031419440305,67.6452657889643,7450.083333333333,86.31386524384905
Africa proconsularis,Latin,7376.0,8.90598676523643,8,1330,15.875,4.0,33.89663910857746,11.984271686554125,213.52213611702336,816.75,28.578838324886476
Baetica,Latin,1000.0,6.907755278982137,1,164,49.0,49.0,,,,0.0,0.0
Etruria / Regio VII,Latin,1000.0,6.907755278982137,5,257,85.0,99.0,31.304951684997057,14.0,36.82935492352595,408.3333333333333,20.207259421636902
Baetica,Latin,1030.0,6.937314081223682,8,287,80.25,99.0,25.877458475338283,9.149063183892498,32.24605417487636,208.33333333333334,14.433756729740644
Gallia Narbonensis,Latin,1559.0,7.351799869057777,6,284,98.5,70.0,113.91180799197245,46.504300876370564,115.64650557560654,7450.083333333333,86.31386524384905
Hispania citerior,Latin,1157.0,7.053585727193677,37,1416,154.6216216216216,123.0,108.8013866719618,17.886837786289117,70.36621756445702,7450.083333333333,86.31386524384905
