threshold_label,threshold_slug,bin_lo,bin_hi,bin_centre,mass
<= 1,le1,210.0,215.0,212.5,498.5
<= 1,le1,215.0,220.0,217.5,311.0
<= 1,le1,220.0,225.0,222.5,221.5
<= 1,le1,225.0,230.0,227.5,152.5
<= 1,le1,230.0,235.0,232.5,128.0
<= 1,le1,235.0,240.0,237.5,300.5
<= 1,le1,240.0,245.0,242.5,166.0
<= 1,le1,245.0,250.0,247.5,129.5
<= 1,le1,250.0,255.0,252.5,209.0
<= 1,le1,255.0,260.0,257.5,71.0
<= 1,le1,260.0,265.0,262.5,45.0
<= 1,le1,265.0,270.0,267.5,55.0
<= 1,le1,270.0,275.0,272.5,61.5
<= 1,le1,275.0,280.0,277.5,74.5
<= 1,le1,280.0,285.0,282.5,122.5
<= 1,le1,285.0,290.0,287.5,45.0
<= 1,le1,290.0,295.0,292.5,25.5
<= 1,le1,295.0,300.0,297.5,38.0
<= 1,le1,300.0,305.0,302.5,39.5
<= 1,le1,305.0,310.0,307.5,165.5
<= 1,le1,310.0,315.0,312.5,59.0
<= 1,le1,315.0,320.0,317.5,33.5
<= 1,le1,320.0,325.0,322.5,42.0
<= 1,le1,325.0,330.0,327.5,43.0
<= 1,le1,330.0,335.0,332.5,38.0
<= 1,le1,335.0,340.0,337.5,59.5
<= 1,le1,340.0,345.0,342.5,66.0
<= 1,le1,345.0,350.0,347.5,85.0
<= 10,le10,-50.0,-45.0,-47.5,47.09318181818182
<= 10,le10,-45.0,-40.0,-42.5,102.76482683982684
<= 10,le10,-40.0,-35.0,-37.5,77.39852092352092
<= 10,le10,-35.0,-30.0,-32.5,29.86897546897547
<= 10,le10,-30.0,-25.0,-27.5,97.8484126984127
<= 10,le10,-25.0,-20.0,-22.5,101.95378787878788
<= 10,le10,-20.0,-15.0,-17.5,62.544552669552665
<= 10,le10,-15.0,-10.0,-12.5,128.10501443001442
<= 10,le10,-10.0,-5.0,-7.5,228.43740981240978
<= 10,le10,-5.0,0.0,-2.5,207.2965367965368
<= 10,le10,0.0,5.0,2.5,89.90068542568542
<= 10,le10,5.0,10.0,7.5,95.87099567099567
<= 10,le10,10.0,15.0,12.5,114.90335497835497
<= 10,le10,15.0,20.0,17.5,117.9518759018759
<= 10,le10,20.0,25.0,22.5,84.97597402597403
<= 10,le10,25.0,30.0,27.5,73.4765873015873
<= 10,le10,30.0,35.0,32.5,111.20739538239538
<= 10,le10,35.0,40.0,37.5,143.58802308802308
<= 10,le10,40.0,45.0,42.5,180.44487734487734
<= 10,le10,45.0,50.0,47.5,173.37900432900432
<= 10,le10,50.0,55.0,52.5,132.50844155844158
<= 10,le10,55.0,60.0,57.5,109.75732323232324
<= 10,le10,60.0,65.0,62.5,99.61547619047619
<= 10,le10,65.0,70.0,67.5,161.91764069264067
<= 10,le10,70.0,75.0,72.5,413.6704545454545
<= 10,le10,75.0,80.0,77.5,1155.255266955267
<= 10,le10,80.0,85.0,82.5,169.93914141414143
<= 10,le10,85.0,90.0,87.5,90.2923520923521
<= 10,le10,90.0,95.0,92.5,113.78354978354977
<= 10,le10,95.0,100.0,97.5,254.14668109668108
<= 10,le10,100.0,105.0,102.5,202.5699855699856
<= 10,le10,105.0,110.0,107.5,188.52633477633478
<= 10,le10,110.0,115.0,112.5,139.5001443001443
<= 10,le10,115.0,120.0,117.5,157.71507936507936
<= 10,le10,120.0,125.0,122.5,1505.2545454545455
<= 10,le10,125.0,130.0,127.5,346.81897546897545
<= 10,le10,130.0,135.0,132.5,196.16958874458874
<= 10,le10,135.0,140.0,137.5,319.28300865800867
<= 10,le10,140.0,145.0,142.5,209.95238095238093
<= 10,le10,145.0,150.0,147.5,349.3996753246753
<= 10,le10,150.0,155.0,152.5,154.96067821067822
<= 10,le10,155.0,160.0,157.5,182.9707792207792
<= 10,le10,160.0,165.0,162.5,429.4678932178932
<= 10,le10,165.0,170.0,167.5,294.75772005772006
<= 10,le10,170.0,175.0,172.5,127.72113997113996
<= 10,le10,175.0,180.0,177.5,170.69512987012988
<= 10,le10,180.0,185.0,182.5,191.59408369408368
<= 10,le10,185.0,190.0,187.5,147.82373737373737
<= 10,le10,190.0,195.0,192.5,198.69339826839825
<= 10,le10,195.0,200.0,197.5,422.68437950937954
<= 10,le10,200.0,205.0,202.5,344.4962121212121
<= 10,le10,205.0,210.0,207.5,363.7735930735931
<= 10,le10,210.0,215.0,212.5,1085.8526334776334
<= 10,le10,215.0,220.0,217.5,879.1958874458875
<= 10,le10,220.0,225.0,222.5,294.18495670995674
<= 10,le10,225.0,230.0,227.5,181.61291486291486
<= 10,le10,230.0,235.0,232.5,162.79639249639249
<= 10,le10,235.0,240.0,237.5,484.4712121212121
<= 10,le10,240.0,245.0,242.5,359.8988455988456
<= 10,le10,245.0,250.0,247.5,300.6992424242424
<= 10,le10,250.0,255.0,252.5,388.70840548340544
<= 10,le10,255.0,260.0,257.5,263.40335497835497
<= 10,le10,260.0,265.0,262.5,86.63084415584416
<= 10,le10,265.0,270.0,267.5,101.4
<= 10,le10,270.0,275.0,272.5,182.91792929292927
<= 10,le10,275.0,280.0,277.5,153.08730158730157
<= 10,le10,280.0,285.0,282.5,160.70025252525252
<= 10,le10,285.0,290.0,287.5,68.67139249639249
<= 10,le10,290.0,295.0,292.5,53.64383116883117
<= 10,le10,295.0,300.0,297.5,55.36590909090909
<= 10,le10,300.0,305.0,302.5,58.24823232323232
<= 10,le10,305.0,310.0,307.5,257.5747474747475
<= 10,le10,310.0,315.0,312.5,156.67005772005774
<= 10,le10,315.0,320.0,317.5,80.58167388167388
<= 10,le10,320.0,325.0,322.5,86.895670995671
<= 10,le10,325.0,330.0,327.5,79.54989177489176
<= 10,le10,330.0,335.0,332.5,74.57997835497835
<= 10,le10,335.0,340.0,337.5,118.49949494949495
<= 10,le10,340.0,345.0,342.5,98.27683982683982
<= 10,le10,345.0,350.0,347.5,100.18939393939394
<= 25,le25,-50.0,-45.0,-47.5,89.18035570137972
<= 25,le25,-45.0,-40.0,-42.5,149.613720387127
<= 25,le25,-40.0,-35.0,-37.5,129.37939303147607
<= 25,le25,-35.0,-30.0,-32.5,82.21357037374166
<= 25,le25,-30.0,-25.0,-27.5,140.39417273678447
<= 25,le25,-25.0,-20.0,-22.5,142.55718040839525
<= 25,le25,-20.0,-15.0,-17.5,105.84178882692814
<= 25,le25,-15.0,-10.0,-12.5,176.15605855616693
<= 25,le25,-10.0,-5.0,-7.5,302.6673418443031
<= 25,le25,-5.0,0.0,-2.5,305.0245582979262
<= 25,le25,0.0,5.0,2.5,207.7066762196763
<= 25,le25,5.0,10.0,7.5,222.00992669880037
<= 25,le25,10.0,15.0,12.5,213.40444693044202
<= 25,le25,15.0,20.0,17.5,242.64861835854128
<= 25,le25,20.0,25.0,22.5,208.00179163110408
<= 25,le25,25.0,30.0,27.5,178.28820306777772
<= 25,le25,30.0,35.0,32.5,201.67050323175576
<= 25,le25,35.0,40.0,37.5,216.77446355494612
<= 25,le25,40.0,45.0,42.5,288.4585881987174
<= 25,le25,45.0,50.0,47.5,305.9361755376061
<= 25,le25,50.0,55.0,52.5,283.84720019462446
<= 25,le25,55.0,60.0,57.5,242.92352899844653
<= 25,le25,60.0,65.0,62.5,236.00784433047994
<= 25,le25,65.0,70.0,67.5,305.149945853342
<= 25,le25,70.0,75.0,72.5,584.3211583305717
<= 25,le25,75.0,80.0,77.5,1318.7576626844912
<= 25,le25,80.0,85.0,82.5,340.43311141360846
<= 25,le25,85.0,90.0,87.5,217.61188813396413
<= 25,le25,90.0,95.0,92.5,202.7557741166642
<= 25,le25,95.0,100.0,97.5,337.5486655963799
<= 25,le25,100.0,105.0,102.5,304.34322365729724
<= 25,le25,105.0,110.0,107.5,311.3146989721142
<= 25,le25,110.0,115.0,112.5,265.2760016149328
<= 25,le25,115.0,120.0,117.5,318.7458761364718
<= 25,le25,120.0,125.0,122.5,1722.4706267021593
<= 25,le25,125.0,130.0,127.5,597.1613793178749
<= 25,le25,130.0,135.0,132.5,448.39453238984436
<= 25,le25,135.0,140.0,137.5,565.8247086794318
<= 25,le25,140.0,145.0,142.5,357.5729033408075
<= 25,le25,145.0,150.0,147.5,510.67764410530765
<= 25,le25,150.0,155.0,152.5,311.0339974017696
<= 25,le25,155.0,160.0,157.5,337.19715678258416
<= 25,le25,160.0,165.0,162.5,530.5167023698845
<= 25,le25,165.0,170.0,167.5,359.00477863904837
<= 25,le25,170.0,175.0,172.5,184.18298526831
<= 25,le25,175.0,180.0,177.5,227.80237630921
<= 25,le25,180.0,185.0,182.5,264.1340042863091
<= 25,le25,185.0,190.0,187.5,213.98239564383357
<= 25,le25,190.0,195.0,192.5,261.44336781262143
<= 25,le25,195.0,200.0,197.5,562.1552938596453
<= 25,le25,200.0,205.0,202.5,559.8936397990517
<= 25,le25,205.0,210.0,207.5,578.3397101442552
<= 25,le25,210.0,215.0,212.5,1242.484611658738
<= 25,le25,215.0,220.0,217.5,1009.1347079288848
<= 25,le25,220.0,225.0,222.5,455.51951015508325
<= 25,le25,225.0,230.0,227.5,341.30730621523224
<= 25,le25,230.0,235.0,232.5,318.5033490516378
<= 25,le25,235.0,240.0,237.5,528.0794857743175
