group,count,pct_of_valid,date_range_min,date_range_max,date_range_mean,date_range_median,lat_null_rate,lon_null_rate,not_before_null_rate,not_after_null_rate,pop_est_null_rate,pop_est_mean
Scupi,201,0.1416,0.0,399.0,110.72139303482587,99.0,0.0,0.0,0.0,0.0,0.0,3590.0
Pola,200,0.1409,0.0,299.0,97.675,99.0,0.0,0.0,0.0,0.0,0.0,2922.0
Saepinum,198,0.1395,1.0,299.0,90.05050505050505,99.0,0.0,0.0,0.0,0.0,0.0,1157.0
Fulginiae,196,0.1381,0.0,199.0,65.03571428571429,49.0,0.0,0.0,0.0,0.0,0.0,5210.0
Mutina,195,0.1374,0.0,199.0,73.75897435897436,64.0,0.0,0.0,0.0,0.0,0.0,8633.0
Augustodunum,190,0.1339,1.0,199.0,120.47368421052632,99.0,0.0,0.0,0.0,0.0,0.0,40589.0
Dibio,189,0.1332,0.0,299.0,168.13227513227514,149.0,0.0,0.0,0.0,0.0,0.0,1000.0
Ariminum,181,0.1275,0.0,231.0,83.11602209944752,99.0,0.0,0.0,0.0,0.0,0.0,5782.0
Micia,181,0.1275,0.0,193.0,84.07734806629834,93.0,0.0,0.0,0.0,0.0,0.0,1000.0
Telesia,180,0.1268,0.0,299.0,85.35555555555555,99.0,0.0,0.0,0.0,0.0,0.0,2290.0
Argentoratum,176,0.124,1.0,369.0,114.625,79.0,0.0,0.0,0.0,0.0,0.0,8848.0
Nursia,176,0.124,1.0,200.0,90.53977272727273,99.0,0.0,0.0,0.0,0.0,0.0,4113.0
Mevania,176,0.124,0.0,199.0,68.4034090909091,49.0,0.0,0.0,0.0,0.0,0.0,1422.0
Narbo Martius,175,0.1233,0.0,299.0,71.12571428571428,49.0,0.0,0.0,0.0,0.0,0.0,43131.0
Patrae,174,0.1226,0.0,299.0,178.3505747126437,199.0,0.0,0.0,0.0,0.0,0.0,1000.0
Potaissa,173,0.1219,0.0,249.0,100.23699421965318,108.0,0.0,0.0,0.0,0.0,0.0,12680.0
Astigi,172,0.1212,0.0,199.0,74.6046511627907,59.0,0.0,0.0,0.0,0.0,0.0,13870.0
Emona,167,0.1177,0.0,599.0,119.46107784431138,99.0,0.0,0.0,0.0,0.0,0.0,2760.0
Lugdunum,165,0.1163,0.0,199.0,56.7030303030303,49.0,0.0,0.0,0.0,0.0,0.0,39960.0
Tarentum,163,0.1149,0.0,199.0,55.15337423312884,49.0,0.0,0.0,0.0,0.0,0.0,30242.0
Noviomagus (Germania Inferior),161,0.1135,0.0,299.0,116.72049689440993,69.0,0.0,0.0,0.0,0.0,0.0,4837.0
Antium,161,0.1135,0.0,399.0,95.28571428571429,99.0,0.0,0.0,0.0,0.0,0.0,9938.0
Nomentum,160,0.1127,0.0,299.0,92.10625,99.0,0.0,0.0,0.0,0.0,0.0,1000.0
Sulmo,160,0.1127,0.0,299.0,104.85625,99.0,0.0,0.0,0.0,0.0,0.0,1559.0
Spoletium,160,0.1127,0.0,299.0,83.4125,89.5,0.0,0.0,0.0,0.0,0.0,2760.0
Sabratha,159,0.112,0.0,299.0,153.0440251572327,199.0,0.0,0.0,0.0,0.0,0.0,4837.0
Paestum,156,0.1099,0.0,199.0,63.48076923076923,59.5,0.0,0.0,0.0,0.0,0.0,26781.0
