province,urban_context_city,n,mean_date_range,mean_date_range_bca_lo,mean_date_range_bca_hi,mean_date_range_pct_lo,mean_date_range_pct_hi,median_date_range,median_date_range_bca_lo,median_date_range_bca_hi,median_date_range_pct_lo,median_date_range_pct_hi,latitude_null_rate,longitude_null_rate,not_before_null_rate,not_after_null_rate
Latium et Campania / Regio I,Surrentum,143,70.8881118881119,65.51835474328169,76.83385452037021,,,70.0,,,,,0.0,0.0,0.0,0.0
Alpes Poeninae,,141,201.10638297872342,180.46151970004982,221.36726800986347,,,300.0,,,,,0.0,0.0,0.0,0.0
Macedonia,Dyrrachium,141,144.645390070922,132.09010955118504,157.3386118232786,,,131.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Allifae,140,82.82857142857142,73.16278379711264,94.60999226899756,,,75.5,60.0,100.0,,,0.0,0.0,0.0,0.0
,Colonia Augusta Treverorum,140,181.82142857142858,172.85714285714286,188.21428571428572,,,200.0,,,,,0.0,0.0,0.0,0.0
Aegyptus,,139,42.78417266187051,32.40533524920833,61.09326317102894,,,9.0,,,,,0.0,0.0,0.0,0.0
Britannia,Aquae Sulis,138,173.05072463768116,161.61644705199066,183.05617080270503,,,200.0,,,,,0.0,0.0,0.0,0.0
Etruria / Regio VII,Capena,137,94.56204379562044,82.39522889135483,108.685217782401,,,100.0,,,,,0.0,0.0,0.0,0.0
Venetia et Histria / Regio X,Brixia,137,66.64233576642336,56.83211678832116,76.62836039750414,,,50.0,,,,,0.0,0.0,0.0,0.0
Britannia,Luguvalium,137,128.82481751824818,114.92933617033617,143.42512810306707,,,130.0,,,,,0.0,0.0,0.0,0.0
Mauretania Caesariensis,Iol,136,85.72058823529412,74.48095550420572,97.12677192262184,,,100.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Aquinum,135,98.84444444444445,89.30311848363691,109.37683626197477,,,100.0,,,,,0.0,0.0,0.0,0.0
Dalmatia,Asseria,135,132.57777777777778,119.06685323973363,148.33653485544437,,,150.0,,,,,0.0,0.0,0.0,0.0
Thracia,,135,75.63703703703703,59.0124124318787,98.6302532230332,,,18.0,9.0,45.0,,,0.0,0.0,0.0,0.0
Umbria / Regio VI,Interamna Nahars,135,78.26666666666667,70.88888888888889,86.79326405519303,,,61.0,,,,,0.0,0.0,0.0,0.0
Sardinia,Turris Libisonis,135,125.05925925925926,113.42131670105476,135.65111734162736,,,147.0,100.0,150.0,,,0.0,0.0,0.0,0.0
Samnium / Regio IV,Histonium,134,125.61940298507463,113.74069265961782,138.09178339552125,,,100.0,,,,,0.0,0.0,0.0,0.0
Germania superior,Augusta Raurica,133,118.23308270676692,102.8352288578863,135.14848822609122,,,100.0,,,,,0.0,0.0,0.0,0.0
Asia,Ephesus,132,26.234848484848484,18.641618868176742,37.444240564793546,,,5.0,,,,,0.0,0.0,0.0,0.0
Latium et Campania / Regio I,Lanuvium,131,85.27480916030534,74.0010147796059,98.96946564885496,,,80.0,51.0,100.0,,,0.0,0.0,0.0,0.0
Etruria / Regio VII,Tarquinii,130,102.08461538461539,88.49290360458039,116.22982288917295,,,100.0,,,,,0.0,0.0,0.0,0.0
Pannonia superior,Vindobona,128,95.84375,81.7734375,113.91009056992397,,,65.0,50.0,100.0,,,0.0,0.0,0.0,0.0
Moesia inferior,Oescus,126,75.51587301587301,65.26716194972462,92.5708262348486,,,55.0,50.0,75.0,,,0.0,0.0,0.0,0.0
Pannonia superior,Siscia,126,127.84126984126983,109.17600276006512,152.72144597653303,,,100.0,,,,,0.0,0.0,0.0,0.0
Noricum,Lauriacum,126,102.77777777777777,90.25463485806145,121.27293657445091,,,80.0,,,,,0.0,0.0,0.0,0.0
Britannia,Corstopitum,123,138.34146341463415,123.00756341937031,153.57503823309463,,,163.0,,,,,0.0,0.0,0.0,0.0
Venetia et Histria / Regio X,Ateste,123,87.70731707317073,78.01884604568058,98.26016260162602,,,60.0,,,,,0.0,0.0,0.0,0.0
