width_bucket,bin_lo,bin_hi,bin_centre,mass,n_inscriptions
10 < width <= 25,5.0,10.0,7.5,136.54802193689562,8311
10 < width <= 25,10.0,15.0,12.5,112.34025279124788,8311
10 < width <= 25,15.0,20.0,17.5,125.23170749163043,8311
10 < width <= 25,20.0,25.0,22.5,122.67267075198325,8311
10 < width <= 25,25.0,30.0,27.5,104.69623115080577,8311
10 < width <= 25,30.0,35.0,32.5,89.13793302418554,8311
10 < width <= 25,35.0,40.0,37.5,70.58154536202794,8311
10 < width <= 25,40.0,45.0,42.5,105.37385071397993,8311
10 < width <= 25,45.0,50.0,47.5,131.18654183797236,8311
10 < width <= 25,50.0,55.0,52.5,150.22687052429478,8311
10 < width <= 25,55.0,60.0,57.5,130.08228968220723,8311
10 < width <= 25,60.0,65.0,62.5,135.62313737077298,8311
10 < width <= 25,65.0,70.0,67.5,151.76377369216985,8311
10 < width <= 25,70.0,75.0,72.5,209.6192352536487,8311
10 < width <= 25,75.0,80.0,77.5,199.0058922327205,8311
10 < width <= 25,80.0,85.0,82.5,171.3611028665999,8311
10 < width <= 25,85.0,90.0,87.5,128.46988569196168,8311
10 < width <= 25,90.0,95.0,92.5,92.2484481093382,8311
10 < width <= 25,95.0,100.0,97.5,87.26911736683175,8311
10 < width <= 25,100.0,105.0,102.5,103.52148983556339,8311
10 < width <= 25,105.0,110.0,107.5,125.57507748249269,8311
10 < width <= 25,110.0,115.0,112.5,130.48564752457872,8311
10 < width <= 25,115.0,120.0,117.5,163.49233523293088,8311
10 < width <= 25,120.0,125.0,122.5,218.1706267021592,8311
10 < width <= 25,125.0,130.0,127.5,255.3913548978504,8311
10 < width <= 25,130.0,135.0,132.5,262.8578107781227,8311
10 < width <= 25,135.0,140.0,137.5,254.68505666477972,8311
10 < width <= 25,140.0,145.0,142.5,149.4666762345804,8311
10 < width <= 25,145.0,150.0,147.5,164.49824850091204,8311
10 < width <= 25,150.0,155.0,152.5,162.48241010018234,8311
10 < width <= 25,155.0,160.0,157.5,160.01309084851823,8311
10 < width <= 25,160.0,165.0,162.5,103.63971824290037,8311
10 < width <= 25,165.0,170.0,167.5,64.81698865125841,8311
10 < width <= 25,170.0,175.0,172.5,59.580726416051164,8311
10 < width <= 25,175.0,180.0,177.5,59.449903781737476,8311
10 < width <= 25,180.0,185.0,182.5,75.28467583698065,8311
10 < width <= 25,185.0,190.0,187.5,67.82299393443188,8311
10 < width <= 25,190.0,195.0,192.5,62.22899052324412,8311
10 < width <= 25,195.0,200.0,197.5,140.56881644816798,8311
10 < width <= 25,200.0,205.0,202.5,221.27505005546195,8311
10 < width <= 25,205.0,210.0,207.5,219.82835483289983,8311
10 < width <= 25,210.0,215.0,212.5,162.0760341251605,8311
10 < width <= 25,215.0,220.0,217.5,138.45979950397637,8311
10 < width <= 25,220.0,225.0,222.5,167.27161638218948,8311
10 < width <= 25,225.0,230.0,227.5,161.0475382054642,8311
10 < width <= 25,230.0,235.0,232.5,157.30835515664393,8311
10 < width <= 25,235.0,240.0,237.5,44.678203723035466,8311
10 < width <= 25,240.0,245.0,242.5,15.279414321376564,8311
10 < width <= 25,245.0,250.0,247.5,18.58392937154379,8311
10 < width <= 25,250.0,255.0,252.5,18.783375160943812,8311
10 < width <= 25,255.0,260.0,257.5,26.578292391564702,8311
10 < width <= 25,260.0,265.0,262.5,25.492454019410538,8311
10 < width <= 25,265.0,270.0,267.5,21.393734405690928,8311
10 < width <= 25,270.0,275.0,272.5,4.469340743797265,8311
10 < width <= 25,275.0,280.0,277.5,27.671347613738916,8311
10 < width <= 25,280.0,285.0,282.5,36.67300694792114,8311
10 < width <= 25,285.0,290.0,287.5,59.69715553654105,8311
10 < width <= 25,290.0,295.0,292.5,98.33237453778779,8311
10 < width <= 25,295.0,300.0,297.5,152.1134030519816,8311
10 < width <= 25,300.0,305.0,302.5,132.0859893098929,8311
10 < width <= 25,305.0,310.0,307.5,40.88652509117242,8311
10 < width <= 25,310.0,315.0,312.5,30.672891692370087,8311
10 < width <= 25,315.0,320.0,317.5,37.7385258795287,8311
10 < width <= 25,320.0,325.0,322.5,41.148998741719836,8311
10 < width <= 25,325.0,330.0,327.5,26.185035183777945,8311
10 < width <= 25,330.0,335.0,332.5,24.719771346046752,8311
10 < width <= 25,335.0,340.0,337.5,23.252379046037344,8311
10 < width <= 25,340.0,345.0,342.5,34.7009707323158,8311
10 < width <= 25,345.0,350.0,347.5,36.51229449627114,8311
25 < width <= 50,-50.0,-45.0,-47.5,174.91666873014555,34716
25 < width <= 50,-45.0,-40.0,-42.5,174.2385138648688,34716
25 < width <= 50,-40.0,-35.0,-37.5,178.64095384329116,34716
25 < width <= 50,-35.0,-30.0,-32.5,179.83069177467314,34716
25 < width <= 50,-30.0,-25.0,-27.5,258.09673879133163,34716
25 < width <= 50,-25.0,-20.0,-22.5,309.37526741113805,34716
25 < width <= 50,-20.0,-15.0,-17.5,317.07054587190504,34716
25 < width <= 50,-15.0,-10.0,-12.5,322.2281144023076,34716
25 < width <= 50,-10.0,-5.0,-7.5,331.8477220765065,34716
25 < width <= 50,-5.0,0.0,-2.5,334.88929043224294,34716
25 < width <= 50,0.0,5.0,2.5,787.3614034638854,34716
25 < width <= 50,5.0,10.0,7.5,949.3276851381511,34716
