nb,na,n,width,category,env_overlap_frac,share_corpus,cum_n,cum_share_corpus
223,234,1,12,other,1.0,9.120259744997538e-06,108872,0.9929409189573719
223,232,1,10,other,1.0,9.120259744997538e-06,108873,0.9929500392171169
-43,-27,1,17,other,1.0,9.120259744997538e-06,108874,0.9929591594768619
-43,-40,1,4,other,1.0,9.120259744997538e-06,108875,0.992968279736607
-44,-1,1,44,other,1.0,9.120259744997538e-06,108876,0.9929773999963519
-44,-42,1,3,other,1.0,9.120259744997538e-06,108877,0.9929865202560969
-45,14,1,60,bc_ad_boundary,1.0,9.120259744997538e-06,108878,0.9929956405158419
14,63,1,50,other,1.0,9.120259744997538e-06,108879,0.9930047607755869
14,60,1,47,other,1.0,9.120259744997538e-06,108880,0.9930138810353318
14,43,1,30,other,1.0,9.120259744997538e-06,108881,0.9930230012950769
70,81,1,12,other,1.0,9.120259744997538e-06,108882,0.9930321215548219
70,78,1,9,reign:Vespasianic,1.0,9.120259744997538e-06,108883,0.9930412418145669
226,234,1,9,other,1.0,9.120259744997538e-06,108884,0.9930503620743119
226,231,1,6,other,1.0,9.120259744997538e-06,108885,0.9930594823340568
226,229,1,4,other,1.0,9.120259744997538e-06,108886,0.9930686025938019
226,228,1,3,other,1.0,9.120259744997538e-06,108887,0.9930777228535469
225,300,1,76,other,1.0,9.120259744997538e-06,108888,0.9930868431132919
225,266,1,42,other,1.0,9.120259744997538e-06,108889,0.9930959633730368
225,260,1,36,other,1.0,9.120259744997538e-06,108890,0.9931050836327818
225,235,1,11,other,1.0,9.120259744997538e-06,108891,0.9931142038925269
224,225,1,2,other,1.0,9.120259744997538e-06,108892,0.9931233241522719
223,270,1,48,other,1.0,9.120259744997538e-06,108893,0.9931324444120169
14,33,1,20,other,1.0,9.120259744997538e-06,108894,0.9931415646717618
69,136,1,68,other,1.0,9.120259744997538e-06,108895,0.9931506849315068
230,240,1,11,other,1.0,9.120259744997538e-06,108896,0.9931598051912518
230,235,1,6,other,1.0,9.120259744997538e-06,108897,0.9931689254509969
229,267,1,39,other,1.0,9.120259744997538e-06,108898,0.9931780457107419
228,250,1,23,other,1.0,9.120259744997538e-06,108899,0.9931871659704868
228,243,1,16,other,1.0,9.120259744997538e-06,108900,0.9931962862302318
228,229,1,2,other,1.0,9.120259744997538e-06,108901,0.9932054064899768
227,333,1,107,other,1.0,9.120259744997538e-06,108902,0.9932145267497219
227,253,1,27,other,1.0,9.120259744997538e-06,108903,0.9932236470094669
227,228,1,2,other,1.0,9.120259744997538e-06,108904,0.9932327672692118
226,350,1,125,other,1.0,9.120259744997538e-06,108905,0.9932418875289568
226,305,1,80,other,1.0,9.120259744997538e-06,108906,0.9932510077887018
226,300,1,75,other,1.0,9.120259744997538e-06,108907,0.9932601280484468
70,102,1,33,other,1.0,9.120259744997538e-06,108908,0.9932692483081919
14,96,1,83,other,1.0,9.120259744997538e-06,108909,0.9932783685679368
14,81,1,68,other,1.0,9.120259744997538e-06,108910,0.9932874888276818
69,98,1,30,other,1.0,9.120259744997538e-06,108911,0.9932966090874268
69,83,1,15,other,1.0,9.120259744997538e-06,108912,0.9933057293471718
69,73,1,5,other,1.0,9.120259744997538e-06,108913,0.9933148496069168
15,50,1,36,other,1.0,9.120259744997538e-06,108914,0.9933239698666618
-48,18,1,67,bc_ad_boundary,1.0,9.120259744997538e-06,108915,0.9933330901264068
231,304,1,74,other,1.0,9.120259744997538e-06,108916,0.9933422103861518
231,274,1,44,other,1.0,9.120259744997538e-06,108917,0.9933513306458968
231,240,1,10,other,1.0,9.120259744997538e-06,108918,0.9933604509056418
231,233,1,3,other,1.0,9.120259744997538e-06,108919,0.9933695711653868
230,350,1,121,other,1.0,9.120259744997538e-06,108920,0.9933786914251318
70,77,1,8,other,1.0,9.120259744997538e-06,108921,0.9933878116848768
70,76,1,7,other,1.0,9.120259744997538e-06,108922,0.9933969319446218
69,235,1,167,other,1.0,9.120259744997538e-06,108923,0.9934060522043667
69,230,1,162,other,1.0,9.120259744997538e-06,108924,0.9934151724641118
69,192,1,124,other,1.0,9.120259744997538e-06,108925,0.9934242927238568
69,171,1,103,other,1.0,9.120259744997538e-06,108926,0.9934334129836018
232,235,1,4,other,1.0,9.120259744997538e-06,108927,0.9934425332433467
232,233,1,2,other,1.0,9.120259744997538e-06,108928,0.9934516535030917
231,350,1,120,other,1.0,9.120259744997538e-06,108929,0.9934607737628368
-45,-35,1,11,other,1.0,9.120259744997538e-06,108930,0.9934698940225818
-45,-41,1,5,other,1.0,9.120259744997538e-06,108931,0.9934790142823268
-45,-42,1,4,other,1.0,9.120259744997538e-06,108932,0.9934881345420717
-45,-43,1,3,other,1.0,9.120259744997538e-06,108933,0.9934972548018167
-45,-44,1,2,other,1.0,9.120259744997538e-06,108934,0.9935063750615618
-46,-44,1,3,other,1.0,9.120259744997538e-06,108935,0.9935154953213068
-46,-45,1,2,other,1.0,9.120259744997538e-06,108936,0.9935246155810518
-47,-25,1,23,other,1.0,9.120259744997538e-06,108937,0.9935337358407967
-47,-30,1,18,other,1.0,9.120259744997538e-06,108938,0.9935428561005417
-47,-42,1,6,other,1.0,9.120259744997538e-06,108939,0.9935519763602867
-47,-44,1,4,other,1.0,9.120259744997538e-06,108940,0.9935610966200318
69,125,1,57,other,1.0,9.120259744997538e-06,108941,0.9935702168797768
69,110,1,42,other,1.0,9.120259744997538e-06,108942,0.9935793371395217
