nb,na,n,width,category,env_overlap_frac,share_corpus,cum_n,cum_share_corpus
197,197,57,1,year_precise,1.0,0.00031559889042074316,154746,0.856801156088567
198,198,56,1,year_precise,1.0,0.00031006206778178274,154802,0.8571112181563488
249,251,55,3,other,1.0,0.0003045252451428223,154857,0.8574157434014916
31,50,55,20,other,1.0,0.0003045252451428223,154912,0.8577202686466344
331,400,54,70,other,0.2857,0.00029898842250386195,154966,0.8580192570691383
121,200,54,80,other,1.0,0.00029898842250386195,155020,0.8583182454916422
30,101,54,72,other,1.0,0.00029898842250386195,155074,0.858617233914146
51,120,53,70,other,1.0,0.00029345159986490153,155127,0.858910685514011
71,170,53,100,other,1.0,0.00029345159986490153,155180,0.8592041371138758
-50,-31,53,20,other,1.0,0.00029345159986490153,155233,0.8594975887137407
-50,-26,53,25,other,1.0,0.00029345159986490153,155286,0.8597910403136056
193,300,53,108,other,1.0,0.00029345159986490153,155339,0.8600844919134706
236,236,52,1,year_precise,1.0,0.0002879147772259411,155391,0.8603724066906965
211,211,52,1,year_precise,1.0,0.0002879147772259411,155443,0.8606603214679224
209,211,52,3,other,1.0,0.0002879147772259411,155495,0.8609482362451484
201,330,52,130,other,1.0,0.0002879147772259411,155547,0.8612361510223743
162,162,52,1,year_precise,1.0,0.0002879147772259411,155599,0.8615240657996003
125,128,52,4,other,1.0,0.0002879147772259411,155651,0.8618119805768262
90,140,52,51,other,1.0,0.0002879147772259411,155703,0.8620998953540521
151,170,51,20,other,1.0,0.0002823779545869807,155754,0.8623822733086391
202,202,51,1,year_precise,1.0,0.0002823779545869807,155805,0.8626646512632261
-16,71,50,88,bc_ad_boundary,1.0,0.00027684113194802033,155855,0.8629414923951741
282,283,50,2,other,1.0,0.00027684113194802033,155905,0.8632183335271221
250,250,50,1,year_precise,1.0,0.00027684113194802033,155955,0.8634951746590701
218,222,50,5,other,1.0,0.00027684113194802033,156005,0.8637720157910181
197,211,50,15,other,1.0,0.00027684113194802033,156055,0.8640488569229662
291,350,49,60,other,1.0,0.0002713043093090599,156104,0.8643201612322753
231,300,49,70,other,1.0,0.0002713043093090599,156153,0.8645914655415843
1,75,49,75,other,1.0,0.0002713043093090599,156202,0.8648627698508934
69,130,49,62,other,1.0,0.0002713043093090599,156251,0.8651340741602024
197,198,48,2,other,1.0,0.0002657674866700995,156299,0.8653998416468726
218,218,48,1,year_precise,1.0,0.0002657674866700995,156347,0.8656656091335426
139,139,48,1,year_precise,1.0,0.0002657674866700995,156395,0.8659313766202127
126,126,47,1,year_precise,1.0,0.00026023066403113907,156442,0.8661916072842438
286,305,47,20,other,1.0,0.00026023066403113907,156489,0.866451837948275
244,247,47,4,other,1.0,0.00026023066403113907,156536,0.8667120686123061
66,100,47,35,other,1.0,0.00026023066403113907,156583,0.8669722992763372
301,430,46,130,other,0.3846,0.0002546938413921787,156629,0.8672269931177294
237,237,46,1,year_precise,1.0,0.0002546938413921787,156675,0.8674816869591216
75,75,46,1,year_precise,1.0,0.0002546938413921787,156721,0.8677363808005139
341,360,46,20,other,0.5,0.0002546938413921787,156767,0.867991074641906
71,79,45,9,other,1.0,0.0002491570187532183,156812,0.8682402316606592
270,275,45,6,other,1.0,0.0002491570187532183,156857,0.8684893886794124
191,250,45,60,other,1.0,0.0002491570187532183,156902,0.8687385456981657
201,259,45,59,other,1.0,0.0002491570187532183,156947,0.8689877027169188
122,200,45,79,other,1.0,0.0002491570187532183,156992,0.8692368597356721
161,300,45,140,other,1.0,0.0002491570187532183,157037,0.8694860167544253
39,70,45,32,other,1.0,0.0002491570187532183,157082,0.8697351737731785
31,60,45,30,other,1.0,0.0002491570187532183,157127,0.8699843307919317
222,222,44,1,year_precise,1.0,0.00024362019611425786,157171,0.870227950988046
41,60,44,20,other,1.0,0.00024362019611425786,157215,0.8704715711841603
74,77,44,4,other,1.0,0.00024362019611425786,157259,0.8707151913802745
71,230,44,160,other,1.0,0.00024362019611425786,157303,0.8709588115763888
76,125,44,50,other,1.0,0.00024362019611425786,157347,0.871202431772503
97,97,44,1,year_precise,1.0,0.00024362019611425786,157391,0.8714460519686172
80,80,44,1,year_precise,1.0,0.00024362019611425786,157435,0.8716896721647316
166,166,44,1,year_precise,1.0,0.00024362019611425786,157479,0.8719332923608458
301,410,44,110,other,0.4545,0.00024362019611425786,157523,0.8721769125569601
-20,20,44,41,bc_ad_boundary,1.0,0.00024362019611425786,157567,0.8724205327530743
217,218,43,2,other,1.0,0.00023808337347529747,157610,0.8726586161265496
217,217,43,1,year_precise,1.0,0.00023808337347529747,157653,0.8728966995000249
214,214,43,1,year_precise,1.0,0.00023808337347529747,157696,0.8731347828735002
226,275,43,50,other,1.0,0.00023808337347529747,157739,0.8733728662469755
193,193,43,1,year_precise,1.0,0.00023808337347529747,157782,0.8736109496204508
98,150,43,53,other,1.0,0.00023808337347529747,157825,0.8738490329939261
26,75,43,50,other,1.0,0.00023808337347529747,157868,0.8740871163674014
117,275,42,159,other,1.0,0.00023254655083633705,157910,0.8743196629182377
197,209,42,13,other,1.0,0.00023254655083633705,157952,0.8745522094690741
244,244,42,1,year_precise,1.0,0.00023254655083633705,157994,0.8747847560199105
284,305,42,22,reign:Tetrarchic,1.0,0.00023254655083633705,158036,0.8750173025707467
-11,-4,42,8,other,1.0,0.00023254655083633705,158078,0.8752498491215831
-13,43,42,57,bc_ad_boundary,1.0,0.00023254655083633705,158120,0.8754823956724195
69,150,41,82,other,1.0,0.00022700972819737666,158161,0.8757094054006168
195,195,41,1,year_precise,1.0,0.00022700972819737666,158202,0.8759364151288141
14,29,41,16,other,1.0,0.00022700972819737666,158243,0.8761634248570116
198,210,41,13,other,1.0,0.00022700972819737666,158284,0.8763904345852089
151,275,40,125,other,1.0,0.00022147290555841624,158324,0.8766119074907673
196,196,40,1,year_precise,1.0,0.00022147290555841624,158364,0.8768333803963257
241,241,40,1,year_precise,1.0,0.00022147290555841624,158404,0.8770548533018842
142,161,40,20,other,1.0,0.00022147290555841624,158444,0.8772763262074426
26,50,40,25,other,1.0,0.00022147290555841624,158484,0.877497799113001
151,220,40,70,other,1.0,0.00022147290555841624,158524,0.8777192720185595
138,138,40,1,year_precise,1.0,0.00022147290555841624,158564,0.8779407449241179
164,164,39,1,year_precise,1.0,0.00021593608291945585,158603,0.8781566810070373
230,230,39,1,year_precise,1.0,0.00021593608291945585,158642,0.8783726170899567
239,239,38,1,year_precise,1.0,0.00021039926028049543,158680,0.8785830163502373
176,300,38,125,other,1.0,0.00021039926028049543,158718,0.8787934156105177
220,220,38,1,year_precise,1.0,0.00021039926028049543,158756,0.8790038148707983
212,212,38,1,year_precise,1.0,0.00021039926028049543,158794,0.8792142141310787
205,205,38,1,year_precise,1.0,0.00021039926028049543,158832,0.8794246133913592
151,235,38,85,other,1.0,0.00021039926028049543,158870,0.8796350126516397
-30,10,37,41,bc_ad_boundary,1.0,0.00020486243764153504,158907,0.8798398750892813
85,115,37,31,other,1.0,0.00020486243764153504,158944,0.8800447375269228
-2,-2,37,1,year_precise,1.0,0.00020486243764153504,158981,0.8802495999645643
-20,10,37,31,bc_ad_boundary,1.0,0.00020486243764153504,159018,0.8804544624022058
31,150,37,120,other,1.0,0.00020486243764153504,159055,0.8806593248398474
-27,100,36,128,bc_ad_boundary,1.0,0.00019932561500257462,159091,0.88085865045485
62,79,36,18,other,1.0,0.00019932561500257462,159127,0.8810579760698526
151,260,36,110,other,1.0,0.00019932561500257462,159163,0.8812573016848552
131,150,36,20,other,1.0,0.00019932561500257462,159199,0.8814566272998577
227,227,36,1,year_precise,1.0,0.00019932561500257462,159235,0.8816559529148603
180,250,36,71,other,1.0,0.00019932561500257462,159271,0.8818552785298629
108,109,36,2,other,1.0,0.00019932561500257462,159307,0.8820546041448655
271,350,36,80,other,1.0,0.00019932561500257462,159343,0.882253929759868
71,120,36,50,other,1.0,0.00019932561500257462,159379,0.8824532553748706
253,268,36,16,other,1.0,0.00019932561500257462,159415,0.8826525809898732
201,275,35,75,other,1.0,0.00019378879236361422,159450,0.8828463697822367
-50,-27,35,24,other,1.0,0.00019378879236361422,159485,0.8830401585746004
181,300,35,120,other,1.0,0.00019378879236361422,159520,0.883233947366964
200,200,35,1,year_precise,1.0,0.00019378879236361422,159555,0.8834277361593276
219,219,35,1,year_precise,1.0,0.00019378879236361422,159590,0.8836215249516912
-70,30,35,101,bc_ad_boundary,0.802,0.00019378879236361422,159625,0.8838153137440549
91,150,35,60,other,1.0,0.00019378879236361422,159660,0.8840091025364184
98,130,35,33,other,1.0,0.00019378879236361422,159695,0.884202891328782
76,150,35,75,other,1.0,0.00019378879236361422,159730,0.8843966801211457
253,260,35,8,other,1.0,0.00019378879236361422,159765,0.8845904689135093
161,250,35,90,other,1.0,0.00019378879236361422,159800,0.8847842577058729
101,125,35,25,other,1.0,0.00019378879236361422,159835,0.8849780464982365
98,98,35,1,year_precise,1.0,0.00019378879236361422,159870,0.8851718352906002
221,221,35,1,year_precise,1.0,0.00019378879236361422,159905,0.8853656240829637
224,224,35,1,year_precise,1.0,0.00019378879236361422,159940,0.8855594128753274
-3,-3,34,1,year_precise,1.0,0.0001882519697246538,159974,0.885747664845052
41,79,34,39,other,1.0,0.0001882519697246538,160008,0.8859359168147767
61,80,34,20,other,1.0,0.0001882519697246538,160042,0.8861241687845013
312,337,34,26,other,1.0,0.0001882519697246538,160076,0.886312420754226
-70,-1,34,70,other,0.7143,0.0001882519697246538,160110,0.8865006727239506
194,194,34,1,year_precise,1.0,0.0001882519697246538,160144,0.8866889246936753
210,210,33,1,year_precise,1.0,0.0001827151470856934,160177,0.886871639840761
70,74,33,5,other,1.0,0.0001827151470856934,160210,0.8870543549878467
69,78,33,10,reign:Vespasianic,1.0,0.0001827151470856934,160243,0.8872370701349324
306,307,33,2,other,1.0,0.0001827151470856934,160276,0.887419785282018
107,107,33,1,year_precise,1.0,0.0001827151470856934,160309,0.8876025004291037
235,235,33,1,year_precise,1.0,0.0001827151470856934,160342,0.8877852155761895
199,199,33,1,year_precise,1.0,0.0001827151470856934,160375,0.8879679307232752
252,252,33,1,year_precise,1.0,0.0001827151470856934,160408,0.8881506458703609
101,101,33,1,year_precise,1.0,0.0001827151470856934,160441,0.8883333610174465
133,133,32,1,year_precise,1.0,0.000177178324446733,160473,0.8885105393418933
42,100,32,59,other,1.0,0.000177178324446733,160505,0.88868771766634
317,324,32,8,other,1.0,0.000177178324446733,160537,0.8888648959907868
209,209,32,1,year_precise,1.0,0.000177178324446733,160569,0.8890420743152334
241,244,32,4,other,1.0,0.000177178324446733,160601,0.8892192526396802
101,260,32,160,other,1.0,0.000177178324446733,160633,0.8893964309641269
251,330,32,80,other,1.0,0.000177178324446733,160665,0.8895736092885737
41,41,32,1,year_precise,1.0,0.000177178324446733,160697,0.8897507876130204
151,225,31,75,other,1.0,0.0001716415018077726,160728,0.8899224291148282
-10,30,31,41,bc_ad_boundary,1.0,0.0001716415018077726,160759,0.8900940706166359
121,121,31,1,year_precise,1.0,0.0001716415018077726,160790,0.8902657121184437
225,225,31,1,year_precise,1.0,0.0001716415018077726,160821,0.8904373536202514
122,367,31,246,other,0.9309,0.0001716415018077726,160852,0.8906089951220593
31,130,31,100,other,1.0,0.0001716415018077726,160883,0.890780636623867
145,145,31,1,year_precise,1.0,0.0001716415018077726,160914,0.8909522781256748
223,223,31,1,year_precise,1.0,0.0001716415018077726,160945,0.8911239196274826
70,86,31,17,other,1.0,0.0001716415018077726,160976,0.8912955611292903
-30,-20,30,11,other,1.0,0.00016610467916881218,161006,0.8914616658084592
158,158,30,1,year_precise,1.0,0.00016610467916881218,161036,0.891627770487628
191,200,30,10,other,1.0,0.00016610467916881218,161066,0.8917938751667968
276,282,30,7,other,1.0,0.00016610467916881218,161096,0.8919599798459656
195,211,30,17,other,1.0,0.00016610467916881218,161126,0.8921260845251344
77,78,30,2,other,1.0,0.00016610467916881218,161156,0.8922921892043032
268,270,30,3,other,1.0,0.00016610467916881218,161186,0.892458293883472
121,150,29,30,other,1.0,0.0001605678565298518,161215,0.8926188617400019
180,200,29,21,other,1.0,0.0001605678565298518,161244,0.8927794295965318
51,75,29,25,other,1.0,0.0001605678565298518,161273,0.8929399974530616
1,330,29,330,other,1.0,0.0001605678565298518,161302,0.8931005653095915
81,100,29,20,other,1.0,0.0001605678565298518,161331,0.8932611331661213
163,163,29,1,year_precise,1.0,0.0001605678565298518,161360,0.8934217010226512
250,251,29,2,other,1.0,0.0001605678565298518,161389,0.893582268879181
176,200,29,25,other,1.0,0.0001605678565298518,161418,0.8937428367357109
-7,-6,29,2,other,1.0,0.0001605678565298518,161447,0.8939034045922407
215,216,29,2,other,1.0,0.0001605678565298518,161476,0.8940639724487706
182,182,29,1,year_precise,1.0,0.0001605678565298518,161505,0.8942245403053004
204,204,29,1,year_precise,1.0,0.0001605678565298518,161534,0.8943851081618303
