unit,null,n_eff,identifiable,holm_group,pval_global,pval_holm,detected_raw,n_bins_outside,antonine_out,antonine_dir,antonine_bracket,crisis_out,crisis_dir,crisis_bracket
Pompeii,exponential,4247,True,identifiable,0.0,0.0,True,78,True,deficit,≥ 50% (deficit),True,deficit,≥ 50% (deficit)
Pompeii,cpl3,4247,True,identifiable,0.0,0.0,True,26,False,none,≥ 50% (deficit),False,none,≥ 50% (deficit)
Salona,exponential,2890,False,flagged,0.0,0.0,True,68,True,surplus,≥ 50% (surplus),True,surplus,≥ doubling (surplus)
Salona,cpl3,2890,False,flagged,0.0,0.0,True,11,True,surplus,≥ 20% (surplus),True,surplus,≥ 20% (surplus)
Ostia,exponential,2316,False,flagged,0.0,0.0,True,72,True,surplus,≥ doubling (surplus),True,deficit,≥ 50% (deficit)
Ostia,cpl3,2316,False,flagged,0.379,1.0,False,4,False,none,< 20% (surplus; sub-bracket),False,none,≥ 20% (deficit)
Mogontiacum,exponential,2325,True,identifiable,0.0,0.0,True,72,True,deficit,≥ 50% (deficit),True,deficit,≥ 50% (deficit)
Mogontiacum,cpl3,2325,True,identifiable,0.0,0.0,True,27,False,none,≥ 20% (deficit),False,none,≥ 50% (deficit)
Aquileia,exponential,1885,False,flagged,0.0,0.0,True,53,True,deficit,≥ 50% (deficit),True,deficit,≥ 50% (deficit)
Aquileia,cpl3,1885,False,flagged,0.801,1.0,False,2,False,none,< 20% (deficit; sub-bracket),False,none,< 20% (deficit; sub-bracket)
Moesia inferior,exponential,1728,False,flagged,0.0,0.0,True,66,True,surplus,≥ doubling (surplus),True,surplus,≥ 50% (surplus)
Moesia inferior,cpl3,1728,False,flagged,0.7,1.0,False,2,False,none,< 20% (surplus; sub-bracket),False,none,≥ 20% (deficit)
Lusitania,exponential,1578,False,flagged,0.0,0.0,True,65,True,surplus,≥ 50% (surplus),True,deficit,≥ 50% (deficit)
Lusitania,cpl3,1578,False,flagged,0.002,0.014,True,9,False,none,< 20% (surplus; sub-bracket),False,none,≥ 20% (deficit)
Italia (excl. Rome),exponential,40499,True,identifiable,0.0,0.0,True,73,True,deficit,≥ 50% (deficit),True,deficit,≥ 50% (deficit)
Italia (excl. Rome),cpl3,40499,True,identifiable,0.0,0.0,True,54,False,none,< 20% (surplus; sub-bracket),True,deficit,≥ 50% (deficit)
