bin_start_year,bin_centre,total_mass,convention_mass_F1F3,alpha_t_F1F3,alpha_t_incl_Big
90,92.5,2136.553656867537,1341.985108371723,0.628107374723856,0.8676815249042249
95,97.5,2135.388068481057,1343.136534682859,0.6289894349921409,0.8663670063227942
100,102.5,2059.3188164397015,1340.5909501865704,0.6509875690371637,0.883941318513889
105,107.5,2351.7479620176164,1571.6326695567495,0.668282781547905,0.8842238169234483
110,112.5,2326.7921986452957,1570.2472165342729,0.674854942976215,0.8990412938472381
115,117.5,2363.921468172769,1570.7615261810686,0.6644728039105351,0.8853557304202953
120,122.5,2496.598694065082,1572.5792934108142,0.6298886950270189,0.8430731571455073
125,127.5,2552.1225506949304,1567.1244814197519,0.614047503711384,0.8253972850928654
130,132.5,2336.3292978448367,1582.4533438335934,0.6773246157094972,0.8319632704033779
135,137.5,2340.618939441707,1607.0792919931168,0.6866044125817606,0.8484156372273778
140,142.5,2285.0596392265484,1605.788538584396,0.7027337540861414,0.8698774143707744
145,147.5,2238.8702051920477,1607.2102892475261,0.7178666657496839,0.8889289398746366
150,152.5,2229.941308926645,1640.9875903938744,0.7358882423608466,0.9014775106449479
155,157.5,2383.511947971221,1736.6490118407621,0.7286093167348917,0.8894243814829819
160,162.5,2410.9629217876463,1766.3033931521306,0.7326132547249948,0.8950023802617392
165,167.5,2361.9823277325195,1775.7855933475794,0.7518200168128762,0.9187329480463051
170,172.5,2426.5943046528782,1733.2059479476075,0.7142545190286931,0.9594525711564844
175,177.5,2557.500481487643,1757.1365453670546,0.6870522833078672,0.9430171522069705
180,182.5,2551.3737395448447,1723.0641085386223,0.6753475909201803,0.9323319538514454
185,187.5,2515.669619044339,1723.2746348544117,0.6850162763062086,0.9460916491103813
190,192.5,2537.974701065674,1722.606246376586,0.6787326310436737,0.9387567800032444
195,197.5,2778.353226819092,1723.5091734555567,0.6203347928617358,0.860182674944404
200,202.5,1965.4438485501735,1001.865446359052,0.5097400503698372,0.8038381795976649
205,207.5,2186.096818530988,1115.899804921572,0.5104530574594741,0.778491927936983
210,212.5,2784.22790960081,1114.7745780613182,0.4003891255515607,0.6103088625545996
215,217.5,2444.8311609028565,1115.2759973921384,0.4561771034447532,0.6946185976821841
220,222.5,1979.3103463145753,1113.0736613132144,0.562354288394303,0.8532471621652011
225,227.5,1940.5094898020925,1114.4961246422417,0.5743317054099571,0.8687635565675252
230,232.5,1633.522244123365,1081.1206902504161,0.6618340791744792,0.8543715320422365
235,237.5,1675.5380434537,1088.9309652748473,0.6498992783418335,0.8354833810988292
240,242.5,1631.1391071198314,1088.4770586249333,0.667310993816402,0.8581048512355774
245,247.5,1632.9354931773894,1088.7645080176458,0.6667529198591379,0.8576091674873384
250,252.5,1362.5930959990046,872.3091682056378,0.6401831704321764,0.8142554084628756
255,257.5,1370.5476126746917,900.9192606915714,0.6573425485987916,0.8304537778348918
260,262.5,1193.1722861620387,898.8773322630731,0.7533508301256345,0.9430495242417284
265,267.5,1217.295143562535,899.0068869189435,0.7385282785963563,0.9243481241037326
270,272.5,1203.8236436064813,876.4410625436817,0.728047722935555,0.8731620378259877
275,277.5,1172.7111497462101,900.4853694276123,0.767866298212044,0.9029467411727462
280,282.5,1168.0073077640438,906.2961996720375,0.7759336723731559,0.911405622067602
285,287.5,1138.3349137642983,906.4797354345205,0.7963207703407177,0.9355761434384597
290,292.5,1404.0152416173028,908.2719547094985,0.646910323895949,0.7626098515029542
295,297.5,1509.7216991464352,908.785799001927,0.6019558435940447,0.7107541006708813
300,302.5,1498.4056500777028,994.1587000319201,0.663477677076542,0.7066157285599454
305,307.5,1843.6724185405944,1229.2707740029753,0.6667511872722138,0.7020881269756876
310,312.5,1724.1826188104374,1227.4451422844215,0.7118997308598731,0.7497091411031442
315,317.5,1678.2636774947675,1227.4796250430422,0.7313985528634962,0.7706342519464311
320,322.5,1672.350201340429,1225.6998772651095,0.7329205786459567,0.7720651918349835
325,327.5,1518.0004602145311,1359.928955298028,0.8958686054059801,0.9382441175896999
330,332.5,1536.5395480970235,1391.0675080280485,0.905324896941872,0.9373130396706834
335,337.5,1532.693629668778,1393.1622541772413,0.908963296518894,0.9412799051405748
340,342.5,1501.6743211297912,1402.6740509104534,0.9340734080443924,0.9672402826070875
345,347.5,1497.3890217909725,1405.0951035420321,0.9383634333457641,0.9721081471597799
