LIST-ID,EDCS-ID,EDH-ID,urban_context_city,pleiades_id,province_edcs,province_edh,province,most_common_province,most_common_count
520940,EDCS-00380656,HD062117,Mediolanum (Gallia Lugdunensis) (2),177578,Transpadana / Regio XI,Germania superior,Transpadana / Regio XI,Lugdunensis,17.0
525857,,HD082269,Mediolanum (Gallia Lugdunensis) (2),177578,,Germania superior,Germania Superior,Lugdunensis,17.0
453266,EDCS-11801043,HD049036,Mediolanum (Italia (XI Transpadana)),138459,Aquitani(c)a,Aquitania,Aquitani(c)a,Transpadana / Regio XI,638.0
450006,EDCS-25000981,HD031021,Meninx,,Africa proconsularis,Africa Proconsularis,Africa Proconsularis,Numidia,7.0
62151,EDCS-80400019,,Metellinum,,Baetica,,Baetica,Lusitania,17.0
516442,EDCS-18600518,HD016059,Misenum,432941,Roma,Latium et Campania (Regio I),Roma,Latium et Campania / Regio I,592.0
477877,EDCS-11100930,HD082679,Mogontiacum,109169,Germania inferior,Germania superior,Germania Inferior,Germania Superior,2969.0
513552,EDCS-36300061,HD082425,Mogontiacum,109169,Provincia incerta,Germania superior,Provincia incerta,Germania Superior,2969.0
490892,EDCS-16600429,HD030561,Neapolis (Macedonia),894133,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Macedonia,23.0
490893,EDCS-16600430,HD030564,Neapolis (Macedonia),894133,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Macedonia,23.0
490894,EDCS-13600367,HD017853,Neapolis (Macedonia),894133,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Macedonia,23.0
490896,EDCS-09400178,HD009240,Neapolis (Macedonia),894133,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Macedonia,23.0
490900,EDCS-09400179,HD009243,Neapolis (Macedonia),894133,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Macedonia,23.0
490902,EDCS-17100160,HD023330,Neapolis (Macedonia),894133,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Macedonia,23.0
490904,EDCS-10701676,HD015140,Neapolis (Macedonia),894133,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Macedonia,23.0
490906,EDCS-16800359,HD032508,Neapolis (Macedonia),894133,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Macedonia,23.0
490908,EDCS-16200786,HD025297,Neapolis (Macedonia),894133,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Macedonia,23.0
490909,EDCS-08900871,HD007774,Neapolis (Macedonia),894133,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Macedonia,23.0
491919,EDCS-46500051,HD017856,Neapolis (Macedonia),894133,Latium et Campania / Regio I,Latium et Campania (Regio I),Latium et Campania / Regio I,Macedonia,23.0
505862,EDCS-16800213,HD031737,Neapolis (Macedonia),894133,Palaestina,Iudaea,Palaestina,Macedonia,23.0
