cell_id,alpha_true,mean_alpha_median,median_alpha_median,std_alpha_median,n_reps,shape_name,tier_weights_name,n,bias
shape=bimodal_alpha=0.05_tier=uniform_N=2000,0.05,0.08018925774816213,0.0785761313661579,0.018834392744374658,100,bimodal,uniform,2000,0.030189257748162127
shape=bimodal_alpha=0.05_tier=uniform_N=50000,0.05,0.05662052753617025,0.0563526257811268,0.008754687034227538,100,bimodal,uniform,50000,0.006620527536170248
shape=bimodal_alpha=0.30_tier=century_heavy_N=10000,0.3,0.10772553331732407,0.10646629066148075,0.01832355390797592,100,bimodal,century_heavy,10000,-0.19227446668267592
shape=bimodal_alpha=0.30_tier=century_heavy_N=2000,0.3,0.1396551848325159,0.14016269809238968,0.025406355953755837,100,bimodal,century_heavy,2000,-0.16034481516748408
shape=bimodal_alpha=0.30_tier=century_heavy_N=50000,0.3,0.10250117903687998,0.10223292584103014,0.013773336760147954,100,bimodal,century_heavy,50000,-0.19749882096312
shape=bimodal_alpha=0.30_tier=half_century_heavy_N=10000,0.3,0.23630427141288127,0.23873143689194612,0.019300762762316726,100,bimodal,half_century_heavy,10000,-0.06369572858711872
shape=bimodal_alpha=0.30_tier=half_century_heavy_N=2000,0.3,0.25165030103215935,0.25032633840471347,0.034338370328052856,100,bimodal,half_century_heavy,2000,-0.04834969896784064
shape=bimodal_alpha=0.30_tier=half_century_heavy_N=50000,0.3,0.2355896154083435,0.23688866116563762,0.013360242083781998,100,bimodal,half_century_heavy,50000,-0.06441038459165649
shape=bimodal_alpha=0.30_tier=pilot_proxy_N=10000,0.3,0.13621433139993483,0.13593316898754687,0.019704890073602908,100,bimodal,pilot_proxy,10000,-0.16378566860006516
shape=bimodal_alpha=0.30_tier=pilot_proxy_N=2000,0.3,0.1624703167559198,0.15866651742410828,0.029832092324978972,100,bimodal,pilot_proxy,2000,-0.1375296832440802
shape=bimodal_alpha=0.30_tier=pilot_proxy_N=50000,0.3,0.1311976431053179,0.1281236433716957,0.015456586500820641,100,bimodal,pilot_proxy,50000,-0.1688023568946821
shape=bimodal_alpha=0.30_tier=reign_heavy_N=10000,0.3,0.2584183955238157,0.26033516679212804,0.017153652494999658,100,bimodal,reign_heavy,10000,-0.04158160447618431
shape=bimodal_alpha=0.30_tier=reign_heavy_N=2000,0.3,0.27812721221061165,0.27814546707844123,0.03614998531121377,100,bimodal,reign_heavy,2000,-0.021872787789388337
shape=bimodal_alpha=0.30_tier=reign_heavy_N=50000,0.3,0.254181270113894,0.25355518849906755,0.010834161313011332,100,bimodal,reign_heavy,50000,-0.04581872988610597
shape=bimodal_alpha=0.30_tier=uniform_N=10000,0.3,0.19076888511202905,0.1900957225047405,0.017836157020885913,100,bimodal,uniform,10000,-0.10923111488797094
shape=bimodal_alpha=0.30_tier=uniform_N=2000,0.3,0.22029682706265188,0.22139187742695274,0.03686436951135143,100,bimodal,uniform,2000,-0.0797031729373481
shape=bimodal_alpha=0.30_tier=uniform_N=50000,0.3,0.19340133567779194,0.19391096081718084,0.011952062968864901,100,bimodal,uniform,50000,-0.10659866432220805
shape=bimodal_alpha=0.50_tier=century_heavy_N=10000,0.5,0.21689664426279298,0.20826824137048644,0.04970112643784898,100,bimodal,century_heavy,10000,-0.283103355737207
shape=bimodal_alpha=0.50_tier=century_heavy_N=2000,0.5,0.2092895442897407,0.20710082045827008,0.039375558985615934,100,bimodal,century_heavy,2000,-0.29071045571025933
shape=bimodal_alpha=0.50_tier=century_heavy_N=50000,0.5,0.27253635386288483,0.2756825464494686,0.034315000915776946,100,bimodal,century_heavy,50000,-0.22746364613711517
shape=bimodal_alpha=0.50_tier=half_century_heavy_N=10000,0.5,0.3989465045243237,0.3972039161068365,0.024653265643764428,100,bimodal,half_century_heavy,10000,-0.10105349547567632
shape=bimodal_alpha=0.50_tier=half_century_heavy_N=2000,0.5,0.4189550399247235,0.4210641114238932,0.04303688193375914,100,bimodal,half_century_heavy,2000,-0.0810449600752765
shape=bimodal_alpha=0.50_tier=half_century_heavy_N=50000,0.5,0.395171380896374,0.3936636502284127,0.010526235926897706,100,bimodal,half_century_heavy,50000,-0.10482861910362601
shape=bimodal_alpha=0.50_tier=pilot_proxy_N=10000,0.5,0.24493480436620996,0.2429132840529667,0.03760841993625004,100,bimodal,pilot_proxy,10000,-0.25506519563379004
shape=bimodal_alpha=0.50_tier=pilot_proxy_N=2000,0.5,0.2592497899985895,0.257134058104457,0.04866242145532058,100,bimodal,pilot_proxy,2000,-0.2407502100014105
shape=bimodal_alpha=0.50_tier=pilot_proxy_N=50000,0.5,0.27979243332291615,0.27502613328240566,0.028766802272990694,100,bimodal,pilot_proxy,50000,-0.22020756667708385
shape=bimodal_alpha=0.50_tier=reign_heavy_N=10000,0.5,0.41153541052209236,0.4124880316603348,0.018172529737750246,100,bimodal,reign_heavy,10000,-0.08846458947790764
shape=bimodal_alpha=0.50_tier=reign_heavy_N=2000,0.5,0.436541420669783,0.43409718136421965,0.03252291084162013,100,bimodal,reign_heavy,2000,-0.06345857933021698
shape=bimodal_alpha=0.50_tier=reign_heavy_N=50000,0.5,0.40364496100283426,0.4028262709229412,0.011009260110265071,100,bimodal,reign_heavy,50000,-0.09635503899716574
shape=bimodal_alpha=0.50_tier=uniform_N=10000,0.5,0.3375039594388409,0.3340098366005775,0.026487748314330886,100,bimodal,uniform,10000,-0.16249604056115913
shape=bimodal_alpha=0.50_tier=uniform_N=2000,0.5,0.3471819029473837,0.34688676816959596,0.04149627038198388,100,bimodal,uniform,2000,-0.1528180970526163
shape=bimodal_alpha=0.50_tier=uniform_N=50000,0.5,0.3382449563721538,0.3375914630807621,0.018312894438290397,100,bimodal,uniform,50000,-0.1617550436278462
shape=bimodal_alpha=0.70_tier=century_heavy_N=10000,0.7,0.4417126192948336,0.4417328506830677,0.06994901253155678,100,bimodal,century_heavy,10000,-0.2582873807051664
shape=bimodal_alpha=0.70_tier=century_heavy_N=2000,0.7,0.34945758233103363,0.33051145987259023,0.10227321949023113,100,bimodal,century_heavy,2000,-0.3505424176689663
shape=bimodal_alpha=0.70_tier=century_heavy_N=50000,0.7,0.5251265405360757,0.5256681282730975,0.033975311171013024,100,bimodal,century_heavy,50000,-0.1748734594639243
shape=bimodal_alpha=0.70_tier=half_century_heavy_N=10000,0.7,0.5759825965677197,0.5770775736567625,0.026535223815634036,100,bimodal,half_century_heavy,10000,-0.1240174034322803
shape=bimodal_alpha=0.70_tier=half_century_heavy_N=2000,0.7,0.5973526836822619,0.5985641605500424,0.04338858722111817,100,bimodal,half_century_heavy,2000,-0.10264731631773805
shape=bimodal_alpha=0.70_tier=half_century_heavy_N=50000,0.7,0.5792044116435847,0.5795275121939559,0.020193042041845084,100,bimodal,half_century_heavy,50000,-0.12079558835641524
shape=bimodal_alpha=0.70_tier=pilot_proxy_N=10000,0.7,0.45604495002864504,0.4633481403527717,0.06838140454382935,100,bimodal,pilot_proxy,10000,-0.24395504997135492
shape=bimodal_alpha=0.70_tier=pilot_proxy_N=2000,0.7,0.3904224670433551,0.38771375072310266,0.07818903436570511,100,bimodal,pilot_proxy,2000,-0.30957753295664486
shape=bimodal_alpha=0.70_tier=pilot_proxy_N=50000,0.7,0.5243088227602616,0.5235505070156767,0.03277391383803549,100,bimodal,pilot_proxy,50000,-0.17569117723973837
shape=bimodal_alpha=0.70_tier=reign_heavy_N=10000,0.7,0.5770663233932191,0.5739194511746036,0.02283843817939403,100,bimodal,reign_heavy,10000,-0.1229336766067809
shape=bimodal_alpha=0.70_tier=reign_heavy_N=2000,0.7,0.607663415310099,0.6068135806430897,0.035559727550132904,100,bimodal,reign_heavy,2000,-0.09233658468990091
shape=bimodal_alpha=0.70_tier=reign_heavy_N=50000,0.7,0.5700726150005319,0.5694533017245721,0.014185348390499414,100,bimodal,reign_heavy,50000,-0.1299273849994681
shape=bimodal_alpha=0.70_tier=uniform_N=10000,0.7,0.4998151501616487,0.49878974589307723,0.035506008942396486,100,bimodal,uniform,10000,-0.20018484983835128
shape=bimodal_alpha=0.70_tier=uniform_N=2000,0.7,0.5106172517704711,0.5043305505892098,0.05872050068544338,100,bimodal,uniform,2000,-0.18938274822952883
shape=bimodal_alpha=0.70_tier=uniform_N=50000,0.7,0.5444618529998015,0.5436420523657687,0.031734613225689566,100,bimodal,uniform,50000,-0.1555381470001984
shape=bimodal_alpha=0.95_tier=century_heavy_N=10000,0.95,0.8272754472237722,0.8318339253164457,0.06660219131874721,100,bimodal,century_heavy,10000,-0.12272455277622774
shape=bimodal_alpha=0.95_tier=century_heavy_N=2000,0.95,0.7839800474482899,0.8082152946458037,0.11362539756037515,100,bimodal,century_heavy,2000,-0.1660199525517101
shape=bimodal_alpha=0.95_tier=century_heavy_N=50000,0.95,0.8759680016445531,0.8808781780094024,0.03288255199165265,100,bimodal,century_heavy,50000,-0.07403199835544683
shape=bimodal_alpha=0.95_tier=half_century_heavy_N=10000,0.95,0.8721623141094055,0.879599725063295,0.05597994160168359,100,bimodal,half_century_heavy,10000,-0.07783768589059448
shape=bimodal_alpha=0.95_tier=half_century_heavy_N=2000,0.95,0.8559832607021992,0.8596944789993883,0.048961660950533704,100,bimodal,half_century_heavy,2000,-0.09401673929780074
shape=bimodal_alpha=0.95_tier=half_century_heavy_N=50000,0.95,0.8932330980570756,0.8945687322978376,0.028347946542270793,100,bimodal,half_century_heavy,50000,-0.05676690194292433
shape=bimodal_alpha=0.95_tier=pilot_proxy_N=10000,0.95,0.837087963686613,0.8489561362470025,0.07373621813129706,100,bimodal,pilot_proxy,10000,-0.11291203631338698
